VACCINATION_DATE,5-11 percent,12-17 percent,18-49 percent,50-64 percent,65 and Older percent,5-11 total,12-17 total,18-49 total,50-64 total,65 and Older total
2021-12-05 15:00:00,25.366,76.815,80.12,88.224,96.084,132119.0,347123.0,2021736,1083583,921830
2021-12-06 15:00:00,25.784,76.868,80.231,88.32,96.147,134295.0,347363.0,2024542,1084761,922431
2021-12-07 15:00:00,26.125,76.931,80.343,88.413,96.213,136074.0,347648.0,2027372,1085900,923064
2021-12-08 15:00:00,26.526,77.002,80.454,88.51,96.273,138161.0,347968.0,2030155,1087096,923638
2021-12-09 15:00:00,26.895,77.067,80.559,88.6,96.331,140084.0,348262.0,2032813,1088194,924200
2021-12-10 15:00:00,27.339,77.134,80.675,88.696,96.384,142399.0,348563.0,2035736,1089374,924704
2021-12-11 15:00:00,27.641,77.189,80.737,88.751,96.413,143969.0,348811.0,2037301,1090053,924980
2021-12-12 15:00:00,28.058,77.222,80.784,88.785,96.427,146140.0,348962.0,2038491,1090464,925117
2021-12-13 15:00:00,28.352,77.283,80.886,88.87,96.478,147672.0,349237.0,2041076,1091514,925605
2021-12-14 15:00:00,28.71,77.352,80.996,88.951,96.531,149538.0,349547.0,2043838,1092504,926119
2021-12-15 15:00:00,29.181,77.427,81.106,89.031,96.583,151989.0,349888.0,2046611,1093487,926617
2021-12-16 15:00:00,29.732,77.523,81.227,89.116,96.639,154863.0,350324.0,2049678,1094531,927148
2021-12-17 15:00:00,30.186,77.617,81.352,89.21,96.695,157227.0,350746.0,2052833,1095688,927684
2021-12-18 15:00:00,30.636,77.697,81.431,89.267,96.725,159569.0,351109.0,2054818,1096382,927974
2021-12-19 15:00:00,30.855,77.739,81.487,89.302,96.745,160711.0,351299.0,2056243,1096812,928163
2021-12-20 15:00:00,31.266,77.838,81.639,89.401,96.81,162851.0,351744.0,2060055,1098034,928791
2021-12-21 15:00:00,31.736,77.953,81.795,89.499,96.871,165300.0,352263.0,2063994,1099233,929372
2021-12-22 15:00:00,32.221,78.08,81.954,89.592,96.933,167824.0,352839.0,2068008,1100381,929973
2021-12-23 15:00:00,32.664,78.196,82.099,89.679,96.982,170134.0,353361.0,2071665,1101447,930446
2021-12-24 15:00:00,32.724,78.215,82.131,89.703,96.999,170443.0,353450.0,2072488,1101737,930606
2021-12-25 15:00:00,32.724,78.216,82.132,89.704,97.0,170446.0,353452.0,2072512,1101754,930611
2021-12-26 15:00:00,32.799,78.251,82.179,89.73,97.012,170837.0,353612.0,2073703,1102074,930725
2021-12-27 15:00:00,33.181,78.357,82.309,89.807,97.057,172823.0,354090.0,2076965,1103015,931160
2021-12-28 15:00:00,33.649,78.49,82.449,89.89,97.108,175262.0,354692.0,2080507,1104045,931650
2021-12-29 15:00:00,34.152,78.631,82.589,89.976,97.16,177883.0,355328.0,2084031,1105097,932148
2021-12-30 15:00:00,34.602,78.754,82.709,90.059,97.203,180228.0,355885.0,2087071,1106115,932561
2021-12-31 15:00:00,34.75,78.792,82.754,90.094,97.22,181000.0,356057.0,2088199,1106540,932727
2022-01-01 15:00:00,34.795,78.802,82.767,90.103,97.225,181232.0,356100.0,2088538,1106654,932771
2022-01-02 15:00:00,34.88,78.835,82.806,90.126,97.235,181673.0,356251.0,2089509,1106936,932871
2022-01-03 15:00:00,35.038,78.882,82.874,90.168,97.254,182498.0,356462.0,2091225,1107459,933049
2022-01-04 15:00:00,35.349,78.975,82.985,90.23,97.289,184117.0,356884.0,2094036,1108211,933383
2022-01-05 15:00:00,35.767,79.085,83.107,90.3,97.328,186294.0,357382.0,2097108,1109081,933763
2022-01-06 15:00:00,36.157,79.206,83.228,90.371,97.366,188324.0,357929.0,2100153,1109944,934129
2022-01-07 15:00:00,36.451,79.319,83.34,90.436,97.395,189857.0,358436.0,2102992,1110743,934403
2022-01-08 15:00:00,36.789,79.448,83.414,90.478,97.412,191616.0,359022.0,2104849,1111257,934568
2022-01-09 15:00:00,36.939,79.509,83.464,90.499,97.423,192398.0,359296.0,2106110,1111518,934674
2022-01-10 15:00:00,37.248,79.628,83.588,90.566,97.46,194011.0,359836.0,2109248,1112338,935023
2022-01-11 15:00:00,37.607,79.752,83.71,90.634,97.497,195879.0,360394.0,2112313,1113177,935387
2022-01-12 15:00:00,38.002,79.899,83.833,90.699,97.533,197936.0,361059.0,2115418,1113979,935729
2022-01-13 15:00:00,38.4,80.028,83.949,90.757,97.566,200011.0,361641.0,2118344,1114686,936048
2022-01-14 15:00:00,38.861,80.187,84.068,90.823,97.6,202412.0,362361.0,2121350,1115504,936370
2022-01-15 15:00:00,39.152,80.296,84.134,90.858,97.614,203928.0,362852.0,2123017,1115924,936505
2022-01-16 15:00:00,39.27,80.343,84.172,90.874,97.62,204538.0,363067.0,2123976,1116123,936563
2022-01-17 15:00:00,39.461,80.442,84.24,90.905,97.633,205536.0,363511.0,2125710,1116508,936688
2022-01-18 15:00:00,39.72,80.55,84.337,90.95,97.656,206886.0,364001.0,2128147,1117056,936904
2022-01-19 15:00:00,40.053,80.651,84.431,90.996,97.683,208619.0,364456.0,2130512,1117628,937167
2022-01-20 15:00:00,40.313,80.742,84.516,91.033,97.705,209972.0,364867.0,2132672,1118081,937374
2022-01-21 15:00:00,40.627,80.858,84.62,91.08,97.726,211606.0,365392.0,2135285,1118650,937581
2022-01-22 15:00:00,40.831,80.952,84.68,91.108,97.739,212669.0,365818.0,2136797,1119004,937701
2022-01-23 15:00:00,40.909,81.007,84.719,91.125,97.746,213079.0,366067.0,2137790,1119204,937775
2022-01-24 15:00:00,41.123,81.089,84.8,91.163,97.769,214190.0,366435.0,2139834,1119676,937989
2022-01-25 15:00:00,41.338,81.159,84.869,91.201,97.794,215311.0,366752.0,2141582,1120141,938227
2022-01-26 15:00:00,41.573,81.229,84.939,91.237,97.815,216534.0,367071.0,2143342,1120578,938437
2022-01-27 15:00:00,41.768,81.294,85.01,91.272,97.837,217549.0,367362.0,2145128,1121015,938640
2022-01-28 15:00:00,41.952,81.368,85.084,91.307,97.858,218508.0,367699.0,2146988,1121442,938850
2022-01-29 15:00:00,42.07,81.428,85.127,91.326,97.865,219124.0,367968.0,2148092,1121677,938910
2022-01-30 15:00:00,42.131,81.464,85.159,91.338,97.87,219442.0,368133.0,2148889,1121828,938964
2022-01-31 15:00:00,42.266,81.531,85.22,91.366,97.887,220143.0,368432.0,2150433,1122167,939121
2022-02-01 15:00:00,42.412,81.585,85.27,91.389,97.902,220904.0,368676.0,2151700,1122451,939269
2022-02-02 15:00:00,42.587,81.639,85.318,91.416,97.918,221815.0,368920.0,2152909,1122786,939423
2022-02-03 15:00:00,42.738,81.689,85.369,91.442,97.935,222606.0,369147.0,2154198,1123103,939581
2022-02-04 15:00:00,42.859,81.745,85.424,91.47,97.948,223236.0,369401.0,2155566,1123440,939710
2022-02-05 15:00:00,42.953,81.803,85.456,91.489,97.956,223723.0,369662.0,2156375,1123677,939788
2022-02-06 15:00:00,42.993,81.828,85.477,91.498,97.96,223930.0,369777.0,2156907,1123790,939825
2022-02-07 15:00:00,43.079,81.867,85.519,91.517,97.972,224382.0,369954.0,2157979,1124028,939938
2022-02-08 15:00:00,43.178,81.911,85.56,91.538,97.986,224893.0,370150.0,2158996,1124285,940074
2022-02-09 15:00:00,43.281,81.951,85.599,91.557,97.998,225431.0,370332.0,2159980,1124515,940190
2022-02-10 15:00:00,43.347,81.971,85.615,91.567,98.004,225776.0,370421.0,2160400,1124631,940251
