OBJECTID,SEX_CODE,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative,Vaccination_Date
120,Female,306,377,5,28,12/16/2020 15:00:00
121,Male,234,286,1,23,12/16/2020 15:00:00
122,Male,343,629,4,27,12/17/2020 15:00:00
123,Female,699,1076,10,38,12/17/2020 15:00:00
124,Male,920,1549,8,35,12/18/2020 15:00:00
125,Unknown Gender,83,87,3,6,12/18/2020 15:00:00
126,Female,1851,2927,28,66,12/18/2020 15:00:00
127,Female,522,3449,17,83,12/19/2020 15:00:00
128,Male,323,1872,13,48,12/19/2020 15:00:00
129,Unknown Gender,2,89,0,6,12/20/2020 15:00:00
130,Male,89,1961,8,56,12/20/2020 15:00:00
131,Female,185,3634,5,88,12/20/2020 15:00:00
132,Unknown Gender,44,133,2,8,12/21/2020 15:00:00
133,Male,1288,3249,22,78,12/21/2020 15:00:00
134,Female,2382,6016,29,117,12/21/2020 15:00:00
135,Female,4093,10109,185,302,12/22/2020 15:00:00
136,Unknown Gender,11,144,0,8,12/22/2020 15:00:00
137,Male,2068,5317,119,197,12/22/2020 15:00:00
138,Unknown Gender,4,148,0,8,12/23/2020 15:00:00
139,Male,1753,7070,41,238,12/23/2020 15:00:00
140,Female,3692,13801,59,361,12/23/2020 15:00:00
141,Female,1692,15493,22,383,12/24/2020 15:00:00
142,Unknown Gender,4,152,0,8,12/24/2020 15:00:00
143,Male,936,8006,19,257,12/24/2020 15:00:00
144,Male,304,8310,40,297,12/25/2020 15:00:00
145,Female,726,16219,72,455,12/25/2020 15:00:00
146,Male,542,8852,59,356,12/26/2020 15:00:00
147,Female,1102,17321,56,511,12/26/2020 15:00:00
148,Male,526,9378,37,393,12/27/2020 15:00:00
149,Female,1239,18560,66,577,12/27/2020 15:00:00
150,Unknown Gender,9,161,0,8,12/28/2020 15:00:00
151,Male,2635,12013,125,518,12/28/2020 15:00:00
152,Female,5938,24498,215,792,12/28/2020 15:00:00
153,Unknown Gender,3,164,2,10,12/29/2020 15:00:00
154,Male,3403,15416,129,647,12/29/2020 15:00:00
155,Female,6892,31390,193,985,12/29/2020 15:00:00
156,Unknown Gender,6,170,0,10,12/30/2020 15:00:00
157,Female,8005,39395,171,1156,12/30/2020 15:00:00
158,Male,4136,19552,117,764,12/30/2020 15:00:00
159,Unknown Gender,1,171,1,11,12/31/2020 15:00:00
160,Female,4644,44039,106,1262,12/31/2020 15:00:00
161,Male,2651,22203,76,840,12/31/2020 15:00:00
162,Female,989,45028,122,1384,1/1/2021 15:00:00
163,Male,479,22682,39,879,1/1/2021 15:00:00
164,Male,738,23420,118,997,1/2/2021 15:00:00
165,Unknown Gender,1,172,0,11,1/2/2021 15:00:00
166,Female,1788,46816,157,1541,1/2/2021 15:00:00
167,Female,2197,49013,310,1851,1/3/2021 15:00:00
168,Unknown Gender,3,175,0,11,1/3/2021 15:00:00
169,Male,947,24367,154,1151,1/3/2021 15:00:00
170,Male,4432,28799,306,1457,1/4/2021 15:00:00
171,Unknown Gender,10,185,4,15,1/4/2021 15:00:00
172,Female,8346,57359,543,2394,1/4/2021 15:00:00
173,Unknown Gender,9,194,7,22,1/5/2021 15:00:00
174,Female,7635,64994,696,3090,1/5/2021 15:00:00
175,Male,4008,32807,382,1839,1/5/2021 15:00:00
176,Unknown Gender,10,204,7,29,1/6/2021 15:00:00
177,Female,9141,74135,824,3914,1/6/2021 15:00:00
178,Male,5149,37956,537,2376,1/6/2021 15:00:00
179,Unknown Gender,10,214,4,33,1/7/2021 15:00:00
180,Female,9502,83637,1711,5625,1/7/2021 15:00:00
181,Male,5053,43009,956,3332,1/7/2021 15:00:00
182,Unknown Gender,8010,8224,8087,8120,1/8/2021 15:00:00
183,Female,10139,93776,1890,7515,1/8/2021 15:00:00
184,Male,5232,48241,1008,4340,1/8/2021 15:00:00
185,Unknown Gender,3,8227,6,8126,1/9/2021 15:00:00
186,Female,3104,96880,710,8225,1/9/2021 15:00:00
187,Male,1666,49907,365,4705,1/9/2021 15:00:00
188,Male,997,50904,206,4911,1/10/2021 15:00:00
189,Female,1564,98444,400,8625,1/10/2021 15:00:00
190,Female,8205,106649,2378,11003,1/11/2021 15:00:00
191,Male,5043,55947,1395,6306,1/11/2021 15:00:00
192,Unknown Gender,3,8230,5,8131,1/11/2021 15:00:00
