OBJECTID,VACCINATION_DATE,Ethnicity,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative
376,3/15/2021 15:00:00,Not Hispanic or Latino,23733,1121995,9167,590529
377,3/16/2021 15:00:00,Hispanic or Latino,1820,54104,409,24674
378,3/16/2021 15:00:00,Unknown Ethnicity,3862,137212,1233,55449
379,3/16/2021 15:00:00,Not Hispanic or Latino,27545,1149540,11306,601835
380,3/17/2021 15:00:00,Not Hispanic or Latino,31251,1180791,14202,616037
381,3/17/2021 15:00:00,Unknown Ethnicity,4068,141280,1476,56925
382,3/17/2021 15:00:00,Hispanic or Latino,2287,56391,579,25253
383,3/18/2021 15:00:00,Hispanic or Latino,2503,58894,365,25618
384,3/18/2021 15:00:00,Unknown Ethnicity,4526,145806,974,57899
385,3/18/2021 15:00:00,Not Hispanic or Latino,34406,1215197,10236,626273
386,3/19/2021 15:00:00,Not Hispanic or Latino,31322,1246519,12877,639150
387,3/19/2021 15:00:00,Hispanic or Latino,2433,61327,499,26117
388,3/19/2021 15:00:00,Unknown Ethnicity,3660,149466,845,58744
389,3/20/2021 15:00:00,Not Hispanic or Latino,19668,1266187,8363,647513
390,3/20/2021 15:00:00,Hispanic or Latino,1974,63301,369,26486
391,3/20/2021 15:00:00,Unknown Ethnicity,2808,152274,892,59636
392,3/21/2021 15:00:00,Not Hispanic or Latino,13627,1279814,5068,652581
393,3/21/2021 15:00:00,Unknown Ethnicity,2049,154323,460,60096
394,3/21/2021 15:00:00,Hispanic or Latino,1275,64576,338,26824
395,3/22/2021 15:00:00,Hispanic or Latino,2039,66615,352,27176
396,3/22/2021 15:00:00,Unknown Ethnicity,3941,158264,1004,61100
397,3/22/2021 15:00:00,Not Hispanic or Latino,26256,1306070,9290,661871
398,3/23/2021 15:00:00,Hispanic or Latino,2513,69128,554,27730
399,3/23/2021 15:00:00,Unknown Ethnicity,4610,162874,1238,62338
400,3/23/2021 15:00:00,Not Hispanic or Latino,30698,1336768,14449,676320
401,3/24/2021 15:00:00,Hispanic or Latino,2987,72115,813,28543
402,3/24/2021 15:00:00,Unknown Ethnicity,5904,168778,1116,63454
403,3/24/2021 15:00:00,Not Hispanic or Latino,31975,1368743,17917,694237
404,3/25/2021 15:00:00,Not Hispanic or Latino,33560,1402303,17414,711651
405,3/25/2021 15:00:00,Hispanic or Latino,3437,75552,798,29341
406,3/25/2021 15:00:00,Unknown Ethnicity,6358,175136,1192,64646
407,3/26/2021 15:00:00,Hispanic or Latino,2525,78077,1191,30532
408,3/26/2021 15:00:00,Unknown Ethnicity,6171,181307,1340,65986
409,3/26/2021 15:00:00,Not Hispanic or Latino,29243,1431546,21842,733493
410,3/27/2021 15:00:00,Not Hispanic or Latino,20980,1452526,14000,747493
411,3/27/2021 15:00:00,Hispanic or Latino,2219,80296,769,31301
412,3/27/2021 15:00:00,Unknown Ethnicity,4796,186103,1000,66986
413,3/28/2021 15:00:00,Not Hispanic or Latino,10502,1463028,8200,755693
414,3/28/2021 15:00:00,Unknown Ethnicity,4357,190460,743,67729
415,3/28/2021 15:00:00,Hispanic or Latino,873,81169,389,31690
416,3/29/2021 15:00:00,Not Hispanic or Latino,11979,1475007,11667,767360
417,3/29/2021 15:00:00,Hispanic or Latino,942,82111,620,32310
418,3/29/2021 15:00:00,Unknown Ethnicity,3872,194332,702,68431
