VACCINATION_DATE,Ethnicity,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative,SingleDoseDaily,SingleDoseCumulative
2021-01-08 15:00:00,Not Hispanic or Latino,14446,132055,2402.0,5455,,0
2021-01-09 15:00:00,Not Hispanic or Latino,4454,136509,799.0,6254,,0
2021-01-10 15:00:00,Not Hispanic or Latino,2440,138949,310.0,6564,,0
2021-01-11 15:00:00,Not Hispanic or Latino,12449,151398,3059.0,9623,,0
2021-01-12 15:00:00,Not Hispanic or Latino,15501,166899,4785.0,14408,,0
2021-01-13 15:00:00,Not Hispanic or Latino,16923,183822,3439.0,17847,,0
2021-01-14 15:00:00,Not Hispanic or Latino,16283,200105,1711.0,19558,,0
2021-01-15 15:00:00,Not Hispanic or Latino,17565,217670,1573.0,21131,,0
2021-01-16 15:00:00,Not Hispanic or Latino,5016,222686,1316.0,22447,,0
2021-01-17 15:00:00,Not Hispanic or Latino,1895,224581,1188.0,23635,,0
2021-01-18 15:00:00,Not Hispanic or Latino,6778,231359,2577.0,26212,,0
2021-01-19 15:00:00,Not Hispanic or Latino,15686,247045,4272.0,30484,,0
2021-01-20 15:00:00,Not Hispanic or Latino,19583,266628,4489.0,34973,,0
2021-01-21 15:00:00,Not Hispanic or Latino,21814,288442,3090.0,38063,,0
2021-01-22 15:00:00,Not Hispanic or Latino,26649,315091,2999.0,41062,,0
2021-01-23 15:00:00,Not Hispanic or Latino,8751,323842,1343.0,42405,,0
2021-01-24 15:00:00,Not Hispanic or Latino,2986,326828,1373.0,43778,,0
2021-01-25 15:00:00,Not Hispanic or Latino,15323,342151,7315.0,51093,,0
2021-01-26 15:00:00,Not Hispanic or Latino,16206,358357,7863.0,58956,,0
2021-01-27 15:00:00,Not Hispanic or Latino,22825,381182,11079.0,70035,,0
2021-01-28 15:00:00,Not Hispanic or Latino,21082,402264,8283.0,78318,,0
2021-01-29 15:00:00,Not Hispanic or Latino,22535,424799,6476.0,84794,,0
2021-01-30 15:00:00,Not Hispanic or Latino,16702,441501,2169.0,86963,,0
2021-01-31 15:00:00,Not Hispanic or Latino,3181,444682,1103.0,88066,,0
2021-02-01 15:00:00,Not Hispanic or Latino,5935,450617,3835.0,91901,,0
2021-02-02 15:00:00,Not Hispanic or Latino,10832,461449,12030.0,103931,,0
2021-02-03 15:00:00,Not Hispanic or Latino,16243,477692,16423.0,120354,,0
2021-02-04 15:00:00,Not Hispanic or Latino,20098,497790,14098.0,134452,,0
2021-02-05 15:00:00,Not Hispanic or Latino,18462,516252,15639.0,150091,,0
2021-02-06 15:00:00,Not Hispanic or Latino,10234,526486,5762.0,155853,,0
2021-02-07 15:00:00,Not Hispanic or Latino,5273,531759,1491.0,157344,,0
2021-02-08 15:00:00,Not Hispanic or Latino,11382,543141,11576.0,168920,,0
2021-02-09 15:00:00,Not Hispanic or Latino,15067,558208,12453.0,181373,,0
2021-02-10 15:00:00,Not Hispanic or Latino,17541,575749,19583.0,200956,,0
2021-02-11 15:00:00,Not Hispanic or Latino,20986,596735,15721.0,216677,,0
2021-02-12 15:00:00,Not Hispanic or Latino,18364,615099,17690.0,234367,,0
2021-02-13 15:00:00,Not Hispanic or Latino,10276,625375,5594.0,239961,,0
2021-02-14 15:00:00,Not Hispanic or Latino,6271,631646,1768.0,241729,,0
2021-02-15 15:00:00,Not Hispanic or Latino,10637,642283,11576.0,253305,,0
2021-02-16 15:00:00,Not Hispanic or Latino,15206,657489,19288.0,272593,,0
2021-02-17 15:00:00,Not Hispanic or Latino,19015,676504,24548.0,297141,,0
2021-02-18 15:00:00,Not Hispanic or Latino,2814,679318,3860.0,301001,,0
2021-02-19 15:00:00,Not Hispanic or Latino,9760,689078,17740.0,318741,,0
2021-02-20 15:00:00,Not Hispanic or Latino,9239,698317,18758.0,337499,,0
2021-02-21 15:00:00,Not Hispanic or Latino,5422,703739,6752.0,344251,,0
2021-02-22 15:00:00,Not Hispanic or Latino,7312,711051,14092.0,358343,,0
2021-02-23 15:00:00,Not Hispanic or Latino,14287,725338,14471.0,372814,,0
2021-02-24 15:00:00,Not Hispanic or Latino,16599,741937,22934.0,395748,,0
2021-02-25 15:00:00,Not Hispanic or Latino,18698,760635,24442.0,420190,,0
2021-02-26 15:00:00,Not Hispanic or Latino,24533,785168,23893.0,444083,,0
2021-02-27 15:00:00,Not Hispanic or Latino,14498,799666,10225.0,454308,,0
2021-02-28 15:00:00,Not Hispanic or Latino,14055,813721,4104.0,458412,,0
2021-03-01 15:00:00,Not Hispanic or Latino,22323,836044,10463.0,468875,,0
2021-03-02 15:00:00,Not Hispanic or Latino,21525,857569,11824.0,480699,14.0,14
2021-03-03 15:00:00,Not Hispanic or Latino,27245,884814,16551.0,497250,132.0,146
2021-03-04 15:00:00,Not Hispanic or Latino,28134,912948,16522.0,513772,3805.0,3951
2021-03-05 15:00:00,Not Hispanic or Latino,25755,938703,17550.0,531322,4559.0,8510
2021-03-06 15:00:00,Not Hispanic or Latino,15972,954675,8040.0,539362,5377.0,13887
2021-03-07 15:00:00,Not Hispanic or Latino,10761,965436,3986.0,543348,5975.0,19862
2021-03-08 15:00:00,Not Hispanic or Latino,23240,988676,7759.0,551107,7454.0,27316
2021-03-09 15:00:00,Not Hispanic or Latino,23530,1012206,14018.0,565125,7436.0,34752
2021-03-10 15:00:00,Not Hispanic or Latino,26971,1039177,14384.0,579509,6878.0,41630
2021-03-11 15:00:00,Not Hispanic or Latino,31143,1070320,14769.0,594278,3420.0,45050
2021-03-12 15:00:00,Not Hispanic or Latino,33376,1103696,16038.0,610316,2434.0,47484
2021-03-13 15:00:00,Not Hispanic or Latino,20424,1124120,9095.0,619411,1211.0,48695
2021-03-14 15:00:00,Not Hispanic or Latino,15096,1139216,5946.0,625357,783.0,49478
2021-03-15 15:00:00,Not Hispanic or Latino,25873,1165089,10104.0,635461,472.0,49950
2021-03-16 15:00:00,Not Hispanic or Latino,29289,1194378,12065.0,647526,692.0,50642
2021-03-17 15:00:00,Not Hispanic or Latino,32949,1227327,15210.0,662736,1019.0,51661
2021-03-18 15:00:00,Not Hispanic or Latino,36441,1263768,11146.0,673882,1138.0,52799
2021-03-19 15:00:00,Not Hispanic or Latino,33427,1297195,13932.0,687814,877.0,53676
2021-03-20 15:00:00,Not Hispanic or Latino,20725,1317920,8873.0,696687,586.0,54262
2021-03-21 15:00:00,Not Hispanic or Latino,16080,1334000,6577.0,703264,274.0,54536
2021-03-22 15:00:00,Not Hispanic or Latino,28346,1362346,10022.0,713286,753.0,55289
2021-03-23 15:00:00,Not Hispanic or Latino,32637,1394983,15502.0,728788,1295.0,56584
2021-03-24 15:00:00,Not Hispanic or Latino,34766,1429749,19083.0,747871,1071.0,57655
2021-03-25 15:00:00,Not Hispanic or Latino,35904,1465653,18799.0,766670,2005.0,59660
2021-03-26 15:00:00,Not Hispanic or Latino,31288,1496941,23261.0,789931,1931.0,61591
2021-03-27 15:00:00,Not Hispanic or Latino,22721,1519662,15079.0,805010,1839.0,63430
2021-03-28 15:00:00,Not Hispanic or Latino,13887,1533549,11261.0,816271,1107.0,64537
2021-03-29 15:00:00,Not Hispanic or Latino,24891,1558440,23423.0,839694,986.0,65523
2021-03-30 15:00:00,Not Hispanic or Latino,34206,1592646,25992.0,865686,1596.0,67119
2021-03-31 15:00:00,Not Hispanic or Latino,34676,1627322,31513.0,897199,4510.0,71629
2021-04-01 15:00:00,Not Hispanic or Latino,35775,1663097,33721.0,930920,4515.0,76144
2021-04-02 15:00:00,Not Hispanic or Latino,29804,1692901,28335.0,959255,4671.0,80815
2021-04-03 15:00:00,Not Hispanic or Latino,17636,1710537,16331.0,975586,3375.0,84190
2021-04-04 15:00:00,Not Hispanic or Latino,6980,1717517,8627.0,984213,818.0,85008
2021-04-05 15:00:00,Not Hispanic or Latino,23356,1740873,25522.0,1009735,5544.0,90552
2021-04-06 15:00:00,Not Hispanic or Latino,34154,1775027,26586.0,1036321,9028.0,99580
2021-04-07 15:00:00,Not Hispanic or Latino,29562,1804589,30198.0,1066519,10446.0,110026
2021-04-08 15:00:00,Not Hispanic or Latino,35441,1840030,31918.0,1098437,10935.0,120961
2021-04-09 15:00:00,Not Hispanic or Latino,27042,1867072,32235.0,1130672,12011.0,132972
2021-04-10 15:00:00,Not Hispanic or Latino,18230,1885302,20050.0,1150722,5923.0,138895
2021-04-11 15:00:00,Not Hispanic or Latino,12793,1898095,10679.0,1161401,8550.0,147445
2021-04-12 15:00:00,Not Hispanic or Latino,19229,1917324,28541.0,1189942,8958.0,156403
2021-04-13 15:00:00,Not Hispanic or Latino,35324,1952648,31316.0,1221258,275.0,156678
2021-04-14 15:00:00,Not Hispanic or Latino,32337,1984985,32279.0,1253537,156.0,156834
2021-04-15 15:00:00,Not Hispanic or Latino,33051,2018036,32876.0,1286413,108.0,156942
2021-04-16 15:00:00,Not Hispanic or Latino,28958,2046994,31778.0,1318191,9.0,156951
2021-04-17 15:00:00,Not Hispanic or Latino,24143,2071137,16869.0,1335060,4.0,156955
2021-04-18 15:00:00,Not Hispanic or Latino,14218,2085355,12889.0,1347949,3.0,156958
2021-04-19 15:00:00,Not Hispanic or Latino,21921,2107276,29314.0,1377263,46.0,157004
2021-04-20 15:00:00,Not Hispanic or Latino,22778,2130054,35504.0,1412767,33.0,157037
2021-04-21 15:00:00,Not Hispanic or Latino,28465,2158519,36084.0,1448851,15.0,157052
2021-04-22 15:00:00,Not Hispanic or Latino,27834,2186353,34202.0,1483053,15.0,157067
2021-04-23 15:00:00,Not Hispanic or Latino,23779,2210132,32622.0,1515675,11.0,157078
2021-04-24 15:00:00,Not Hispanic or Latino,18680,2228812,23300.0,1538975,64.0,157142
2021-04-25 15:00:00,Not Hispanic or Latino,13824,2242636,6597.0,1545572,21.0,157163
2021-04-26 15:00:00,Not Hispanic or Latino,19654,2262290,25854.0,1571426,177.0,157340
2021-04-27 15:00:00,Not Hispanic or Latino,20323,2282613,27971.0,1599397,899.0,158239
2021-04-28 15:00:00,Not Hispanic or Latino,22140,2304753,31447.0,1630844,1119.0,159358
2021-04-29 15:00:00,Not Hispanic or Latino,20693,2325446,31041.0,1661885,1194.0,160552
2021-04-30 15:00:00,Not Hispanic or Latino,20805,2346251,25079.0,1686964,1314.0,161866
2021-05-01 15:00:00,Not Hispanic or Latino,12874,2359125,17658.0,1704622,767.0,162633
2021-05-02 15:00:00,Not Hispanic or Latino,6239,2365364,11058.0,1715680,627.0,163260
2021-05-03 15:00:00,Not Hispanic or Latino,9890,2375254,21324.0,1737004,1562.0,164822
2021-05-04 15:00:00,Not Hispanic or Latino,10812,2386066,31168.0,1768172,1434.0,166256
2021-05-05 15:00:00,Not Hispanic or Latino,13616,2399682,28307.0,1796479,1555.0,167811
2021-05-06 15:00:00,Not Hispanic or Latino,13116,2412798,31124.0,1827603,1418.0,169229
2021-05-07 15:00:00,Not Hispanic or Latino,12446,2425244,26809.0,1854412,1606.0,170835
2021-05-08 15:00:00,Not Hispanic or Latino,7037,2432281,22531.0,1876943,991.0,171826
2021-05-09 15:00:00,Not Hispanic or Latino,3452,2435733,8256.0,1885199,553.0,172379
2021-05-10 15:00:00,Not Hispanic or Latino,6431,2442164,22356.0,1907555,1050.0,173429
2021-05-11 15:00:00,Not Hispanic or Latino,8906,2451070,22817.0,1930372,1149.0,174578
2021-05-12 15:00:00,Not Hispanic or Latino,10761,2461831,28737.0,1959109,1345.0,175923
2021-05-13 15:00:00,Not Hispanic or Latino,17586,2479417,26253.0,1985362,1054.0,176977
2021-05-14 15:00:00,Not Hispanic or Latino,18641,2498058,21562.0,2006924,1367.0,178344
2021-05-15 15:00:00,Not Hispanic or Latino,15958,2514016,16753.0,2023677,947.0,179291
2021-05-16 15:00:00,Not Hispanic or Latino,6574,2520590,12404.0,2036081,693.0,179984
2021-05-17 15:00:00,Not Hispanic or Latino,13506,2534096,19555.0,2055636,1413.0,181397
2021-05-18 15:00:00,Not Hispanic or Latino,16275,2550371,22467.0,2078103,1462.0,182859
2021-05-19 15:00:00,Not Hispanic or Latino,19694,2570065,21376.0,2099479,1066.0,183925
2021-05-20 15:00:00,Not Hispanic or Latino,11107,2581172,16981.0,2116460,968.0,184893
2021-05-21 15:00:00,Not Hispanic or Latino,6727,2587899,12307.0,2128767,650.0,185543
