OBJECTID,VACCINATION_DATE,FirstDailyDose,FirstDoseCumulative,SecondDailyDose,SecondDoseCumulative,SingleDailyDose,SingleDoseCumulative,AtleastOneVaccine,AtleastOneVaccineCumulative,CompletedVax,CompletedVaxCumulative,FirstSecondSingleVaccination_12,FirstSecondSingleVaccination_13
181,6/12/2021 15:00:00,5229,3399558,14669.000000000000000,3012261,602.000000000000000,252467.000000000000000,5831,3652025,15271,3264728,20500,6664198
182,6/13/2021 15:00:00,1928,3401486,7548.000000000000000,3019809,426.000000000000000,252893.000000000000000,2354,3654379,7974,3272702,9902,6674100
183,6/14/2021 15:00:00,5653,3407139,11766.000000000000000,3031575,724.000000000000000,253617.000000000000000,6377,3660756,12490,3285192,18143,6692243
184,6/15/2021 15:00:00,5630,3412769,14292.000000000000000,3045867,857.000000000000000,254474.000000000000000,6487,3667243,15149,3300341,20779,6713022
185,6/16/2021 15:00:00,8707,3421476,21471.000000000000000,3067338,752.000000000000000,255226.000000000000000,9459,3676702,22223,3322564,30930,6743952
186,6/17/2021 15:00:00,6665,3428141,12344.000000000000000,3079682,720.000000000000000,255946.000000000000000,7385,3684087,13064,3335628,19729,6763681
187,6/18/2021 15:00:00,6831,3434972,12618.000000000000000,3092300,695.000000000000000,256641.000000000000000,7526,3691613,13313,3348941,20144,6783825
188,6/19/2021 15:00:00,4659,3439631,9334.000000000000000,3101634,614.000000000000000,257255.000000000000000,5273,3696886,9948,3358889,14607,6798432
189,6/20/2021 15:00:00,2499,3442130,5017.000000000000000,3106651,377.000000000000000,257632.000000000000000,2876,3699762,5394,3364283,7893,6806325
190,6/21/2021 15:00:00,5534,3447664,5293.000000000000000,3111944,635.000000000000000,258267.000000000000000,6169,3705931,5928,3370211,11462,6817787
191,6/22/2021 15:00:00,5184,3452848,8835.000000000000000,3120779,681.000000000000000,258948.000000000000000,5865,3711796,9516,3379727,14700,6832487
192,6/23/2021 15:00:00,6048,3458896,10251.000000000000000,3131030,641.000000000000000,259589.000000000000000,6689,3718485,10892,3390619,16940,6849427
193,6/24/2021 15:00:00,5917,3464813,8164.000000000000000,3139194,589.000000000000000,260178.000000000000000,6506,3724991,8753,3399372,14670,6864097
194,6/25/2021 15:00:00,5805,3470618,8570.000000000000000,3147764,620.000000000000000,260798.000000000000000,6425,3731416,9190,3408562,14995,6879092
195,6/26/2021 15:00:00,3694,3474312,6252.000000000000000,3154016,393.000000000000000,261191.000000000000000,4087,3735503,6645,3415207,10339,6889431
196,6/27/2021 15:00:00,2788,3477100,3526.000000000000000,3157542,182.000000000000000,261373.000000000000000,2970,3738473,3708,3418915,6496,6895927
197,6/28/2021 15:00:00,4719,3481819,6065.000000000000000,3163607,521.000000000000000,261894.000000000000000,5240,3743713,6586,3425501,11305,6907232
198,6/29/2021 15:00:00,5047,3486866,6479.000000000000000,3170086,517.000000000000000,262411.000000000000000,5564,3749277,6996,3432497,12043,6919275
199,6/30/2021 15:00:00,5587,3492453,7382.000000000000000,3177468,603.000000000000000,263014.000000000000000,6190,3755467,7985,3440482,13572,6932847
200,7/1/2021 15:00:00,5246,3497699,6885.000000000000000,3184353,484.000000000000000,263498.000000000000000,5730,3761197,7369,3447851,12615,6945462
201,7/2/2021 15:00:00,5258,3502957,6804.000000000000000,3191157,515.000000000000000,264013.000000000000000,5773,3766970,7319,3455170,12577,6958039
202,7/3/2021 15:00:00,3256,3506213,4056.000000000000000,3195213,260.000000000000000,264273.000000000000000,3516,3770486,4316,3459486,7572,6965611
203,7/4/2021 15:00:00,492,3506705,536.000000000000000,3195749,66.000000000000000,264339.000000000000000,558,3771044,602,3460088,1094,6966705
