ZIP_CODE,FirstDose,SecondDose,SingleDose,AtleastOneDose,FullyVaccinated
2118,39.0,19.0,3.0,42.0,22.0
2123,2.0,2.0,,,
2125,20.0,10.0,1.0,21.0,11.0
6,1.0,,,,
21,6.0,5.0,,,
22,1.0,1.0,,,
175,,,1.0,,
206,1.0,1.0,,,
606,4.0,3.0,,,
610,1.0,,1.0,2.0,
623,3.0,1.0,,,
624,2.0,1.0,,,
659,4.0,4.0,1.0,5.0,5.0
660,1.0,1.0,,,
674,1.0,1.0,,,
676,1.0,1.0,,,
692,5.0,2.0,,,
693,6.0,3.0,1.0,7.0,4.0
707,1.0,,,,
725,9.0,5.0,,,
726,2.0,,,,
741,1.0,1.0,,,
773,1.0,1.0,,,
775,1.0,1.0,,,
777,3.0,2.0,,,
791,2.0,2.0,,,
792,1.0,1.0,,,
824,2.0,2.0,,,
840,2.0,1.0,,,
841,1.0,1.0,,,
907,2.0,1.0,,,
924,3.0,,,,
925,1.0,,,,
926,14.0,10.0,1.0,15.0,11.0
927,1.0,,,,
957,4.0,2.0,1.0,5.0,3.0
959,8.0,4.0,,,
960,2.0,2.0,,,
976,3.0,3.0,,,
1007,3.0,2.0,,,
1026,1.0,,,,
1027,11.0,4.0,,,
1060,9.0,5.0,,,
1075,13.0,5.0,1.0,14.0,6.0
1077,3.0,1.0,,,
1108,10.0,9.0,,,
1109,11.0,5.0,,,
1128,2.0,1.0,,,
1227,1.0,,,,
1244,1.0,,,,
1245,1.0,,,,
1258,1.0,,,,
1342,6.0,1.0,,,
1344,1.0,1.0,,,
1360,1.0,1.0,1.0,2.0,2.0
1375,6.0,3.0,,,
1376,1.0,1.0,,,
1460,9.0,4.0,,,
1462,9.0,7.0,,,
1475,2.0,2.0,,,
1510,3.0,3.0,,,
1527,3.0,1.0,,,
1543,3.0,2.0,,,
1545,33.0,21.0,3.0,36.0,24.0
1560,1.0,1.0,2.0,3.0,3.0
1561,2.0,1.0,,,
1562,2.0,2.0,,,
1609,16.0,10.0,1.0,17.0,11.0
1610,12.0,8.0,1.0,13.0,9.0
1612,1.0,1.0,1.0,2.0,2.0
1746,7.0,5.0,1.0,8.0,6.0
1760,22.0,15.0,,,
1776,23.0,12.0,2.0,25.0,14.0
1778,18.0,8.0,,,
1810,31.0,14.0,,,
1826,7.0,3.0,,,
1827,1.0,1.0,,,
1830,2.0,1.0,,,
1843,4.0,1.0,,,
1844,3.0,2.0,,,
1845,16.0,9.0,1.0,17.0,10.0
1860,5.0,2.0,,,
1862,4.0,2.0,,,
1876,13.0,7.0,1.0,14.0,8.0
1879,3.0,2.0,2.0,5.0,4.0
