ZIP_CODE,FirstDose,SecondDose,SingleDose,AtleastOneDose,FullyVaccinated
19605,11.0,8.0,1.0,12.0,9.0
19607,16.0,7.0,4.0,20.0,11.0
19707,289.0,215.0,8.0,297.0,223.0
19714,7.0,3.0,,,
19716,1.0,,,,
19730,11.0,7.0,,,
19732,2.0,1.0,,,
19805,215.0,159.0,17.0,232.0,176.0
19807,111.0,74.0,7.0,118.0,81.0
19830,1.0,1.0,,,
19850,9.0,8.0,,,
19930,349.0,230.0,14.0,363.0,244.0
19939,558.0,402.0,37.0,595.0,439.0
19941,25.0,18.0,2.0,27.0,20.0
19950,152.0,109.0,48.0,200.0,157.0
19955,1.0,1.0,,,
19964,32.0,23.0,16.0,48.0,39.0
19966,973.0,730.0,133.0,1106.0,863.0
19973,1116.0,873.0,193.0,1309.0,1066.0
19975,2211.0,1465.0,107.0,2318.0,1572.0
19980,1.0,1.0,1.0,2.0,2.0
20000,2.0,1.0,,,
20005,1222.0,801.0,139.0,1361.0,940.0
20007,3528.0,2241.0,324.0,3852.0,2565.0
20009,5915.0,4021.0,716.0,6631.0,4737.0
20014,3.0,3.0,1.0,4.0,4.0
20016,6214.0,3622.0,446.0,6660.0,4068.0
20023,2.0,1.0,1.0,3.0,2.0
20025,1.0,,,,
20030,10.0,6.0,,,
20032,3682.0,1945.0,199.0,3881.0,2144.0
20039,9.0,7.0,,,
20041,1.0,,,,
20050,2.0,2.0,1.0,3.0,3.0
20055,1.0,1.0,,,
20057,60.0,39.0,7.0,67.0,46.0
20059,57.0,34.0,2.0,59.0,36.0
20064,23.0,16.0,1.0,24.0,17.0
20066,2.0,1.0,,,
20073,1.0,1.0,,,
20075,1.0,1.0,,,
20082,3.0,3.0,,,
20091,5.0,5.0,,,
20107,1.0,,,,
20109,228.0,154.0,17.0,245.0,171.0
20114,1.0,,,,
20116,10.0,7.0,1.0,11.0,8.0
20123,2.0,1.0,,,
20132,154.0,101.0,19.0,173.0,120.0
20134,7.0,5.0,,,
20139,2.0,1.0,,,
20141,40.0,26.0,3.0,43.0,29.0
20148,628.0,416.0,78.0,706.0,494.0
20159,3.0,2.0,,,
20164,370.0,247.0,25.0,395.0,272.0
20166,206.0,130.0,13.0,219.0,143.0
20173,1.0,1.0,,,
20175,342.0,222.0,24.0,366.0,246.0
20182,3.0,1.0,,,
20184,8.0,5.0,1.0,9.0,6.0
20189,41.0,23.0,,,
20191,462.0,310.0,29.0,491.0,339.0
20198,9.0,5.0,5.0,14.0,10.0
20200,1.0,,,,
20207,11.0,8.0,1.0,12.0,9.0
20209,3.0,2.0,,,
20214,1.0,1.0,,,
20216,2.0,1.0,1.0,3.0,2.0
20223,1.0,,,,
20225,1.0,,,,
20232,1.0,1.0,,,
20241,1.0,1.0,,,
20266,1.0,1.0,,,
20293,1.0,1.0,,,
20307,3.0,3.0,,,
20359,1.0,1.0,1.0,2.0,2.0
20373,8.0,7.0,,,
20375,3.0,,1.0,4.0,
20407,1.0,1.0,,,
20409,2.0,1.0,,,
20416,2.0,2.0,,,
20423,1.0,1.0,,,
20475,2.0,2.0,,,
20500,1.0,1.0,,,
20502,3.0,3.0,,,
20507,2.0,2.0,,,
20523,1.0,1.0,,,
20532,,,2.0,,
20543,24.0,24.0,,,
20559,,,1.0,,
20566,1.0,,,,
20568,1.0,1.0,,,
20577,3.0,2.0,,,
20582,1.0,1.0,,,
20584,1.0,,,,
20602,17165.0,15091.0,992.0,18157.0,16083.0
19122,28.0,18.0,,,
19129,30.0,18.0,,,
19131,43.0,18.0,,,
19136,16.0,7.0,2.0,18.0,9.0
19138,17.0,9.0,,,
19145,34.0,18.0,2.0,36.0,20.0
19147,94.0,59.0,3.0,97.0,62.0
19154,8.0,6.0,1.0,9.0,7.0
19320,129.0,90.0,9.0,138.0,99.0
19340,1.0,,,,
19345,1.0,1.0,,,
19347,6.0,2.0,,,
19363,453.0,316.0,53.0,506.0,369.0
19365,18.0,17.0,1.0,19.0,18.0
19372,9.0,7.0,,,
19381,1.0,1.0,,,
19390,240.0,192.0,23.0,263.0,215.0
19404,1.0,,,,
19406,57.0,34.0,,,
19422,44.0,24.0,2.0,46.0,26.0
19438,33.0,22.0,2.0,35.0,24.0
19440,26.0,17.0,1.0,27.0,18.0
19449,1.0,1.0,,,
19454,54.0,36.0,3.0,57.0,39.0
19465,27.0,17.0,3.0,30.0,20.0
19474,1.0,1.0,,,
19481,2.0,1.0,,,
19490,1.0,1.0,,,
19504,6.0,5.0,1.0,7.0,6.0
19506,4.0,3.0,,,
19522,11.0,7.0,1.0,12.0,8.0
19529,1.0,,,,
19540,25.0,16.0,,,
19547,2.0,1.0,2.0,4.0,3.0
19565,3.0,2.0,1.0,4.0,3.0
19604,9.0,4.0,2.0,11.0,6.0
19606,33.0,23.0,4.0,37.0,27.0
19706,25.0,18.0,2.0,27.0,20.0
19708,,,1.0,,
19713,661.0,471.0,50.0,711.0,521.0
19733,7.0,6.0,,,
19806,151.0,103.0,9.0,160.0,112.0
19808,462.0,354.0,24.0,486.0,378.0
19899,1.0,1.0,,,
19931,20.0,14.0,4.0,24.0,18.0
19933,318.0,233.0,49.0,367.0,282.0
19938,103.0,85.0,20.0,123.0,105.0
19940,1610.0,1218.0,150.0,1760.0,1368.0
19942,1.0,1.0,,,
19947,273.0,215.0,47.0,320.0,262.0
19956,1178.0,901.0,154.0,1332.0,1055.0
19958,507.0,357.0,24.0,531.0,381.0
19967,213.0,137.0,6.0,219.0,143.0
20006,127.0,78.0,13.0,140.0,91.0
20008,5006.0,3289.0,448.0,5454.0,3737.0
20015,4811.0,2932.0,232.0,5043.0,3164.0
20017,3186.0,1609.0,162.0,3348.0,1771.0
20022,4.0,2.0,,,
20024,1294.0,858.0,129.0,1423.0,987.0
20031,1.0,1.0,,,
20033,3.0,2.0,,,
20040,11.0,6.0,1.0,12.0,7.0
20042,1.0,,,,
20047,1.0,1.0,,,
20049,1.0,,,,
20056,7.0,5.0,,,
20067,1.0,,,,
20072,6.0,5.0,,,
20074,23.0,17.0,,,
20081,1.0,,1.0,2.0,
20090,35.0,24.0,1.0,36.0,25.0
20099,3.0,2.0,,,
20106,20.0,17.0,4.0,24.0,21.0
20108,3.0,1.0,1.0,4.0,2.0
20115,26.0,19.0,4.0,30.0,23.0
20117,23.0,16.0,1.0,24.0,17.0
20122,13.0,11.0,1.0,14.0,12.0
20124,153.0,116.0,9.0,162.0,125.0
20131,,,1.0,,
20142,16.0,11.0,,,
20147,639.0,409.0,52.0,691.0,461.0
20151,194.0,132.0,26.0,220.0,158.0
20156,4.0,3.0,,,
20158,24.0,14.0,,,
20165,405.0,287.0,31.0,436.0,318.0
20167,6.0,3.0,,,
20172,22.0,19.0,,,
20174,4.0,4.0,1.0,5.0,5.0
20176,640.0,399.0,49.0,689.0,448.0
20181,30.0,18.0,4.0,34.0,22.0
20190,403.0,283.0,34.0,437.0,317.0
20192,5.0,4.0,,,
20199,1.0,,,,
20201,13.0,12.0,,,
20206,6.0,6.0,2.0,8.0,8.0
20208,6.0,5.0,,,
20215,1.0,,,,
20217,9.0,7.0,,,
20224,2.0,1.0,1.0,3.0,2.0
20233,1.0,,,,
20240,1.0,,,,
20265,2.0,2.0,,,
20274,1.0,1.0,,,
20290,1.0,,,,
20301,4.0,3.0,,,
20315,,,1.0,,
20331,1.0,1.0,,,
20205,2.0,2.0,1.0,3.0,3.0
20218,2.0,2.0,1.0,3.0,3.0
20219,1.0,1.0,,,
20220,8.0,6.0,,,
20221,3.0,1.0,,,
20222,1.0,1.0,,,
20237,7.0,5.0,,,
20238,1.0,1.0,,,
20252,1.0,1.0,,,
20270,3.0,2.0,,,
20271,2.0,2.0,,,
20286,1.0,1.0,,,
20302,2.0,2.0,,,
20303,1.0,1.0,,,
20319,2.0,1.0,,,
20370,1.0,1.0,,,
20372,1.0,1.0,,,
20387,1.0,1.0,,,
20402,1.0,1.0,,,
20403,1.0,1.0,,,
20404,1.0,1.0,,,
20419,2.0,1.0,,,
20421,,,1.0,,
20469,1.0,1.0,,,
20470,2.0,1.0,,,
20472,1.0,1.0,,,
20504,1.0,1.0,,,
20505,2.0,1.0,,,
20506,1.0,1.0,,,
20520,1.0,1.0,,,
20521,2.0,1.0,,,
20536,1.0,,,,
20539,1.0,1.0,,,
20553,1.0,1.0,,,
20554,,,1.0,,
20555,,,1.0,,
20571,1.0,1.0,,,
20586,1.0,1.0,,,
20587,1.0,1.0,,,
20588,8.0,7.0,2.0,10.0,9.0
20603,20796.0,18368.0,1038.0,21834.0,19406.0
20604,289.0,256.0,14.0,303.0,270.0
20606,218.0,201.0,11.0,229.0,212.0
20620,904.0,822.0,68.0,972.0,890.0
20621,787.0,741.0,53.0,840.0,794.0
20622,3041.0,2795.0,166.0,3207.0,2961.0
20623,1972.0,1802.0,73.0,2045.0,1875.0
20636,6749.0,6201.0,464.0,7213.0,6665.0
20637,3638.0,3285.0,208.0,3846.0,3493.0
20638,2.0,2.0,,,
20639,10753.0,9714.0,625.0,11378.0,10339.0
20653,14161.0,12632.0,908.0,15069.0,13540.0
20654,3.0,3.0,,,
20655,1.0,1.0,1.0,2.0,2.0
20656,252.0,238.0,20.0,272.0,258.0
20670,371.0,297.0,33.0,404.0,330.0
20671,1.0,,,,
20672,5.0,5.0,1.0,6.0,6.0
20686,206.0,191.0,5.0,211.0,196.0
20687,178.0,167.0,17.0,195.0,184.0
20688,2253.0,1979.0,169.0,2422.0,2148.0
20689,1320.0,1208.0,76.0,1396.0,1284.0
20690,603.0,564.0,41.0,644.0,605.0
20703,148.0,113.0,16.0,164.0,129.0
20704,189.0,158.0,10.0,199.0,168.0
20705,21065.0,18515.0,1389.0,22454.0,19904.0
20706,30720.0,26839.0,1831.0,32551.0,28670.0
20720,18662.0,16434.0,922.0,19584.0,17356.0
20721,22879.0,20262.0,1012.0,23891.0,21274.0
20722,3981.0,3379.0,295.0,4276.0,3674.0
20723,26487.0,23987.0,1616.0,28103.0,25603.0
20736,6485.0,5856.0,356.0,6841.0,6212.0
20737,15648.0,13254.0,1165.0,16813.0,14419.0
20738,51.0,40.0,4.0,55.0,44.0
20739,2.0,1.0,,,
20740,18893.0,16503.0,1295.0,20188.0,17798.0
20753,82.0,72.0,1.0,83.0,73.0
20754,4858.0,4395.0,295.0,5153.0,4690.0
20755,2431.0,1933.0,220.0,2651.0,2153.0
20756,3.0,3.0,,,
20770,18420.0,16045.0,1299.0,19719.0,17344.0
20771,25.0,19.0,1.0,26.0,20.0
20772,33517.0,29656.0,1434.0,34951.0,31090.0
20773,144.0,127.0,5.0,149.0,132.0
20787,77.0,61.0,7.0,84.0,68.0
20788,36.0,27.0,,,
20789,18.0,10.0,4.0,22.0,14.0
20790,11.0,10.0,1.0,12.0,11.0
20803,1.0,,,,
20804,4.0,2.0,,,
20805,5.0,5.0,,,
20806,9.0,7.0,1.0,10.0,8.0
20807,4.0,2.0,,,
20821,3.0,3.0,,,
20822,2.0,2.0,,,
20823,2.0,2.0,,,
20837,5418.0,4881.0,481.0,5899.0,5362.0
20838,233.0,212.0,14.0,247.0,226.0
20839,183.0,165.0,22.0,205.0,187.0
20840,1.0,1.0,,,
20853,25707.0,23131.0,1381.0,27088.0,24512.0
20854,44343.0,38839.0,2131.0,46474.0,40970.0
20855,13144.0,11831.0,895.0,14039.0,12726.0
20856,4.0,4.0,,,
20857,28.0,25.0,3.0,31.0,28.0
20870,14.0,9.0,1.0,15.0,10.0
20871,22932.0,20479.0,1516.0,24448.0,21995.0
20607,7876.0,6857.0,364.0,8240.0,7221.0
20609,687.0,635.0,49.0,736.0,684.0
20616,4378.0,3802.0,253.0,4631.0,4055.0
20618,549.0,509.0,41.0,590.0,550.0
20625,425.0,381.0,26.0,451.0,407.0
20627,80.0,70.0,2.0,82.0,72.0
20632,280.0,258.0,18.0,298.0,276.0
20634,4334.0,3922.0,361.0,4695.0,4283.0
20641,2.0,2.0,,,
20643,7.0,7.0,1.0,8.0,8.0
20650,10369.0,9399.0,567.0,10936.0,9966.0
20652,1.0,1.0,,,
20657,11922.0,10784.0,1191.0,13113.0,11975.0
20659,12723.0,11694.0,809.0,13532.0,12503.0
20675,1094.0,977.0,69.0,1163.0,1046.0
20677,1601.0,1469.0,103.0,1704.0,1572.0
20682,8.0,5.0,2.0,10.0,7.0
20684,758.0,695.0,57.0,815.0,752.0
20693,657.0,593.0,39.0,696.0,632.0
20700,2.0,2.0,2.0,4.0,4.0
20702,24.0,21.0,1.0,25.0,22.0
20707,26815.0,23793.0,1701.0,28516.0,25494.0
20709,86.0,69.0,3.0,89.0,72.0
20716,15704.0,14068.0,839.0,16543.0,14907.0
20718,118.0,106.0,5.0,123.0,111.0
20725,146.0,123.0,15.0,161.0,138.0
20727,7.0,6.0,,,
20732,6719.0,6049.0,377.0,7096.0,6426.0
20734,4.0,3.0,,,
20741,53.0,45.0,6.0,59.0,51.0
20743,21087.0,18134.0,989.0,22076.0,19123.0
20750,72.0,60.0,4.0,76.0,64.0
20752,27.0,23.0,2.0,29.0,25.0
20757,83.0,74.0,4.0,87.0,78.0
20759,5655.0,5092.0,267.0,5922.0,5359.0
20761,,,1.0,,
20766,1.0,1.0,,,
20768,116.0,102.0,7.0,123.0,109.0
20775,64.0,53.0,1.0,65.0,54.0
20777,2939.0,2675.0,160.0,3099.0,2835.0
20782,22019.0,18591.0,1163.0,23182.0,19754.0
20784,21325.0,18348.0,1295.0,22620.0,19643.0
20786,18.0,13.0,1.0,19.0,14.0
20791,103.0,96.0,2.0,105.0,98.0
20793,4.0,2.0,,,
20802,7.0,5.0,,,
20809,1.0,,,,
20811,11.0,9.0,1.0,12.0,10.0
20816,13543.0,11613.0,776.0,14319.0,12389.0
20818,1372.0,1178.0,78.0,1450.0,1256.0
20825,13.0,8.0,2.0,15.0,10.0
20827,71.0,62.0,6.0,77.0,68.0
20834,1.0,1.0,,,
20841,7765.0,7062.0,672.0,8437.0,7734.0
20843,4.0,3.0,,,
20850,42363.0,37794.0,2548.0,44911.0,40342.0
20852,38445.0,33627.0,1920.0,40365.0,35547.0
20859,75.0,65.0,2.0,77.0,67.0
20861,2315.0,2065.0,116.0,2431.0,2181.0
20866,11903.0,10632.0,532.0,12435.0,11164.0
20868,589.0,524.0,34.0,623.0,558.0
20875,195.0,165.0,22.0,217.0,187.0
20877,29283.0,25396.0,2129.0,31412.0,27525.0
20884,65.0,56.0,6.0,71.0,62.0
20886,26320.0,23334.0,1933.0,28253.0,25267.0
20891,24.0,20.0,4.0,28.0,24.0
20900,7.0,6.0,,,
20902,42186.0,37010.0,1937.0,44123.0,38947.0
20909,6.0,4.0,,,
20911,20.0,20.0,2.0,22.0,22.0
20916,53.0,42.0,3.0,56.0,45.0
20918,28.0,22.0,1.0,29.0,23.0
20941,1.0,,,,
20952,1.0,1.0,,,
20966,2.0,2.0,,,
20975,1.0,1.0,,,
20984,3.0,3.0,,,
20986,1.0,1.0,,,
20993,20.0,18.0,,,
20995,1.0,1.0,,,
21009,20457.0,18799.0,1551.0,22008.0,20350.0
21018,21.0,18.0,,,
21020,44.0,39.0,4.0,48.0,43.0
21025,2.0,1.0,,,
21027,53.0,51.0,4.0,57.0,55.0
21034,1775.0,1615.0,206.0,1981.0,1821.0
21036,1811.0,1691.0,129.0,1940.0,1820.0
21041,170.0,145.0,7.0,177.0,152.0
21043,40461.0,37107.0,2164.0,42625.0,39271.0
21045,31268.0,28430.0,1743.0,33011.0,30173.0
21050,12736.0,11811.0,1016.0,13752.0,12827.0
21052,223.0,214.0,22.0,245.0,236.0
21059,1.0,1.0,,,
21061,34551.0,31194.0,2656.0,37207.0,33850.0
21068,1.0,1.0,,,
21070,5.0,4.0,,,
21075,26022.0,23525.0,1471.0,27493.0,24996.0
21077,213.0,193.0,11.0,224.0,204.0
21084,4811.0,4461.0,377.0,5188.0,4838.0
21086,1.0,1.0,,,
21093,32082.0,29799.0,1915.0,33997.0,31714.0
21095,2.0,2.0,,,
21100,4.0,4.0,,,
21102,6896.0,6314.0,1104.0,8000.0,7418.0
21109,1.0,1.0,,,
21111,3766.0,3472.0,315.0,4081.0,3787.0
21118,2.0,2.0,,,
20374,3.0,,,,
20376,1.0,1.0,,,
20390,1.0,1.0,,,
20401,6.0,4.0,,,
20406,2.0,,,,
20408,2.0,2.0,,,
20415,2.0,2.0,,,
20417,1.0,,,,
20424,2.0,2.0,,,
20431,6.0,3.0,,,
20433,8.0,5.0,1.0,9.0,6.0
20460,2.0,2.0,,,
20474,2.0,2.0,,,
20476,2.0,1.0,,,
20483,1.0,1.0,,,
20508,1.0,1.0,,,
20510,1.0,1.0,,,
20515,3.0,2.0,,,
20517,1.0,1.0,,,
20535,1.0,1.0,,,
20560,7.0,7.0,1.0,8.0,8.0
20567,1.0,1.0,,,
20583,1.0,1.0,,,
20585,2.0,2.0,,,
20590,1.0,1.0,,,
20601,16691.0,14800.0,919.0,17610.0,15719.0
20608,461.0,425.0,44.0,505.0,469.0
20610,73.0,63.0,34.0,107.0,97.0
20615,281.0,247.0,25.0,306.0,272.0
20617,577.0,523.0,34.0,611.0,557.0
20619,9190.0,8192.0,557.0,9747.0,8749.0
20624,742.0,681.0,35.0,777.0,716.0
20626,264.0,240.0,10.0,274.0,250.0
20633,1.0,1.0,,,
20635,14.0,10.0,2.0,16.0,12.0
20640,5276.0,4604.0,319.0,5595.0,4923.0
20642,1.0,1.0,,,
20644,2.0,2.0,,,
20649,1.0,1.0,2.0,3.0,3.0
20658,603.0,528.0,55.0,658.0,583.0
20660,128.0,120.0,2.0,130.0,122.0
20667,313.0,288.0,15.0,328.0,303.0
20669,2.0,2.0,,,
20674,562.0,493.0,61.0,623.0,554.0
20676,2338.0,2103.0,160.0,2498.0,2263.0
20683,1.0,1.0,,,
20685,4150.0,3788.0,314.0,4464.0,4102.0
20692,669.0,607.0,50.0,719.0,657.0
20701,349.0,304.0,27.0,376.0,331.0
20708,18797.0,15858.0,1120.0,19917.0,16978.0
20710,5642.0,4743.0,423.0,6065.0,5166.0
20717,53.0,48.0,5.0,58.0,53.0
20719,31.0,30.0,1.0,32.0,31.0
20724,12502.0,11027.0,807.0,13309.0,11834.0
20726,25.0,21.0,2.0,27.0,23.0
20733,1882.0,1716.0,130.0,2012.0,1846.0
20735,25055.0,21996.0,1140.0,26195.0,23136.0
20742,1506.0,1158.0,49.0,1555.0,1207.0
20744,32565.0,28225.0,1314.0,33879.0,29539.0
20749,100.0,86.0,5.0,105.0,91.0
20751,1534.0,1377.0,107.0,1641.0,1484.0
20758,516.0,474.0,33.0,549.0,507.0
20760,2.0,1.0,,,
20767,1.0,1.0,,,
20769,5414.0,4851.0,333.0,5747.0,5184.0
20774,36177.0,31828.0,1555.0,37732.0,33383.0
20776,2219.0,2028.0,135.0,2354.0,2163.0
20783,32528.0,27088.0,1938.0,34466.0,29026.0
20785,25453.0,21937.0,1205.0,26658.0,23142.0
20792,98.0,85.0,5.0,103.0,90.0
20794,11620.0,9634.0,656.0,12276.0,10290.0
20799,15.0,10.0,2.0,17.0,12.0
20801,5.0,4.0,1.0,6.0,5.0
20810,21.0,17.0,2.0,23.0,19.0
20817,32070.0,27742.0,1817.0,33887.0,29559.0
20819,6.0,3.0,,,
20824,49.0,40.0,4.0,53.0,44.0
20826,1.0,1.0,,,
20833,6423.0,5832.0,426.0,6849.0,6258.0
20835,2.0,2.0,,,
20842,1387.0,1233.0,118.0,1505.0,1351.0
20844,1.0,1.0,,,
20849,90.0,83.0,8.0,98.0,91.0
20851,11662.0,10467.0,654.0,12316.0,11121.0
20858,2.0,,1.0,3.0,
20860,1859.0,1654.0,83.0,1942.0,1737.0
20867,1.0,,,,
20869,1.0,1.0,,,
20874,48030.0,42937.0,3398.0,51428.0,46335.0
20876,20035.0,17875.0,1468.0,21503.0,19343.0
20878,54467.0,48866.0,3443.0,57910.0,52309.0
20883,69.0,58.0,2.0,71.0,60.0
20885,64.0,52.0,5.0,69.0,57.0
20892,637.0,608.0,27.0,664.0,635.0
20894,15.0,11.0,,,
20899,8.0,7.0,,,
20901,29804.0,26136.0,1393.0,31197.0,27529.0
20903,18281.0,15489.0,880.0,19161.0,16369.0
20908,29.0,24.0,,,
20910,33285.0,28729.0,1671.0,34956.0,30400.0
20917,3.0,2.0,,,
20919,2.0,2.0,,,
20926,1.0,1.0,,,
20942,1.0,1.0,,,
20953,1.0,1.0,,,
20958,1.0,1.0,,,
20976,2.0,2.0,,,
20513,1.0,1.0,,,
20514,,,1.0,,
20530,1.0,1.0,,,
20544,1.0,1.0,,,
20546,1.0,1.0,,,
20579,2.0,2.0,,,
20580,2.0,2.0,,,
20581,1.0,1.0,,,
20595,1.0,1.0,,,
20598,3.0,2.0,,,
20611,682.0,605.0,53.0,735.0,658.0
20612,197.0,188.0,5.0,202.0,193.0
20613,10336.0,9101.0,613.0,10949.0,9714.0
20614,2.0,1.0,,,
20628,375.0,349.0,15.0,390.0,364.0
20629,117.0,105.0,12.0,129.0,117.0
20630,330.0,290.0,45.0,375.0,335.0
20631,1.0,1.0,,,
20645,568.0,501.0,37.0,605.0,538.0
20646,13762.0,12359.0,827.0,14589.0,13186.0
20647,1.0,,,,
20661,25.0,21.0,1.0,26.0,22.0
20662,1365.0,1223.0,79.0,1444.0,1302.0
20663,1.0,1.0,,,
20664,1629.0,1468.0,124.0,1753.0,1592.0
20678,8644.0,7811.0,482.0,9126.0,8293.0
20679,1.0,,,,
20680,596.0,554.0,39.0,635.0,593.0
20681,2.0,2.0,,,
20695,8382.0,7463.0,422.0,8804.0,7885.0
20697,4.0,1.0,2.0,6.0,3.0
20698,1.0,1.0,,,
20711,4420.0,4000.0,319.0,4739.0,4319.0
20712,4770.0,3981.0,288.0,5058.0,4269.0
20713,5.0,5.0,,,
20714,2826.0,2516.0,162.0,2988.0,2678.0
20715,19315.0,17532.0,1220.0,20535.0,18752.0
20728,1.0,,,,
20729,1.0,,,,
20730,1.0,1.0,1.0,2.0,2.0
20731,41.0,39.0,1.0,42.0,40.0
20745,14921.0,12633.0,662.0,15583.0,13295.0
20746,14431.0,12390.0,707.0,15138.0,13097.0
20747,21673.0,18817.0,911.0,22584.0,19728.0
20748,20531.0,17687.0,902.0,21433.0,18589.0
20762,320.0,239.0,28.0,348.0,267.0
20763,1878.0,1708.0,133.0,2011.0,1841.0
20764,2663.0,2446.0,172.0,2835.0,2618.0
20765,397.0,355.0,23.0,420.0,378.0
20778,1353.0,1255.0,100.0,1453.0,1355.0
20779,854.0,779.0,55.0,909.0,834.0
20780,6.0,5.0,1.0,7.0,6.0
20781,8782.0,7548.0,600.0,9382.0,8148.0
20795,6.0,4.0,1.0,7.0,5.0
20796,2.0,2.0,,,
20797,6.0,4.0,,,
20798,2.0,2.0,,,
20812,246.0,212.0,20.0,266.0,232.0
20813,38.0,19.0,1.0,39.0,20.0
20814,25701.0,22003.0,1339.0,27040.0,23342.0
20815,24314.0,20907.0,1204.0,25518.0,22111.0
20828,2.0,1.0,,,
20829,1.0,1.0,,,
20830,72.0,66.0,7.0,79.0,73.0
20831,1.0,1.0,,,
20832,21419.0,19588.0,1127.0,22546.0,20715.0
20845,5.0,3.0,2.0,7.0,5.0
20846,1.0,1.0,,,
20847,52.0,44.0,4.0,56.0,48.0
20848,55.0,50.0,6.0,61.0,56.0
20862,326.0,305.0,21.0,347.0,326.0
20865,1.0,1.0,,,
20879,20428.0,18154.0,1555.0,21983.0,19709.0
20880,423.0,384.0,31.0,454.0,415.0
20881,2.0,2.0,1.0,3.0,3.0
20882,10457.0,9466.0,988.0,11445.0,10454.0
20895,16184.0,14407.0,918.0,17102.0,15325.0
20896,831.0,739.0,55.0,886.0,794.0
20897,13.0,10.0,,,
20898,79.0,72.0,1.0,80.0,73.0
20912,18737.0,16233.0,909.0,19646.0,17142.0
20913,42.0,38.0,,,
20914,116.0,101.0,5.0,121.0,106.0
20915,63.0,51.0,2.0,65.0,53.0
20932,2.0,1.0,,,
20965,2.0,1.0,,,
20979,2.0,2.0,,,
20981,1.0,1.0,,,
20982,,,1.0,,
20996,3.0,2.0,,,
21012,17225.0,15766.0,993.0,18218.0,16759.0
21013,3514.0,3274.0,285.0,3799.0,3559.0
21014,26632.0,24645.0,2058.0,28690.0,26703.0
21015,21447.0,19766.0,1655.0,23102.0,21421.0
21029,11786.0,10741.0,573.0,12359.0,11314.0
21030,18932.0,17225.0,1194.0,20126.0,18419.0
21031,80.0,70.0,2.0,82.0,72.0
21032,6537.0,5974.0,441.0,6978.0,6415.0
21046,12545.0,11506.0,682.0,13227.0,12188.0
21047,9324.0,8626.0,773.0,10097.0,9399.0
21048,7039.0,6528.0,759.0,7798.0,7287.0
21049,7.0,6.0,,,
21062,36.0,32.0,2.0,38.0,34.0
21063,4.0,2.0,,,
21064,2.0,1.0,,,
21065,4.0,3.0,,,
21066,1.0,1.0,,,
20872,10030.0,9085.0,1059.0,11089.0,10144.0
20873,22.0,15.0,2.0,24.0,17.0
20887,9.0,8.0,,,
20888,2.0,1.0,,,
20889,15.0,14.0,1.0,16.0,15.0
20890,,,1.0,,
20904,45633.0,40226.0,1719.0,47352.0,41945.0
20905,15020.0,13515.0,702.0,15722.0,14217.0
20906,58695.0,51904.0,2506.0,61201.0,54410.0
20907,93.0,79.0,2.0,95.0,81.0
20920,1.0,1.0,,,
20922,1.0,,,,
20924,1.0,,,,
20940,1.0,,,,
20972,1.0,1.0,,,
20974,2.0,2.0,,,
20987,2.0,2.0,,,
20990,5.0,3.0,,,
21004,,,1.0,,
21005,837.0,655.0,76.0,913.0,731.0
21006,2.0,2.0,,,
21007,3.0,2.0,,,
21021,14.0,13.0,,,
21022,126.0,114.0,8.0,134.0,122.0
21023,110.0,98.0,5.0,115.0,103.0
21024,7.0,6.0,,,
21037,15117.0,13741.0,968.0,16085.0,14709.0
21038,1.0,,,,
21039,2.0,1.0,,,
21040,12963.0,11535.0,1386.0,14349.0,12921.0
21054,10604.0,9614.0,546.0,11150.0,10160.0
21055,6.0,6.0,,,
21056,177.0,137.0,13.0,190.0,150.0
21057,3008.0,2806.0,237.0,3245.0,3043.0
21071,336.0,307.0,33.0,369.0,340.0
21072,2.0,2.0,1.0,3.0,3.0
21073,4.0,4.0,,,
21074,9259.0,8522.0,1267.0,10526.0,9789.0
21087,3799.0,3551.0,308.0,4107.0,3859.0
21088,21.0,16.0,1.0,22.0,17.0
21089,1.0,1.0,,,
21090,7124.0,6579.0,576.0,7700.0,7155.0
21091,6.0,4.0,,,
21104,4541.0,4239.0,344.0,4885.0,4583.0
21105,23.0,22.0,,,
21106,79.0,70.0,9.0,88.0,79.0
21107,6.0,6.0,,,
21121,1.0,1.0,,,
21122,39612.0,36436.0,3189.0,42801.0,39625.0
21123,117.0,107.0,2.0,119.0,109.0
21124,1.0,1.0,,,
21138,2.0,2.0,,,
21139,45.0,40.0,1.0,46.0,41.0
21140,2655.0,2425.0,186.0,2841.0,2611.0
21154,3384.0,3094.0,411.0,3795.0,3505.0
21155,1494.0,1372.0,204.0,1698.0,1576.0
21156,224.0,215.0,22.0,246.0,237.0
21157,23940.0,22095.0,2255.0,26195.0,24350.0
21171,4.0,4.0,,,
21173,1.0,1.0,,,
21190,,,1.0,,
21204,14762.0,13319.0,932.0,15694.0,14251.0
21205,8271.0,7190.0,516.0,8787.0,7706.0
21206,28770.0,25891.0,1721.0,30491.0,27612.0
21207,29675.0,26888.0,1859.0,31534.0,28747.0
21208,26063.0,23760.0,1302.0,27365.0,25062.0
21221,24952.0,22505.0,1983.0,26935.0,24488.0
21222,32430.0,29176.0,3613.0,36043.0,32789.0
21223,10308.0,8755.0,809.0,11117.0,9564.0
21224,36195.0,31740.0,3628.0,39823.0,35368.0
21238,3.0,3.0,,,
21239,17445.0,15894.0,907.0,18352.0,16801.0
