OBJECTID,VACCINATION_DATE,AgeRange,FirstDailyDose,FirstDailyDoseCumulative,SecondDailyDose,SecondDailyDoseCumulative,SingleDailyDose,SingleDailyDoseCumulative,CombinedTotalDoses,CombinedTotalDosesCumulative,FullyVaccinated,FullyVaccinatedCumulative
74,4/15/2016 15:00:00,age60to69,1,12,,0,,0,,12,,0
75,4/29/2016 15:00:00,age50to59,1,12,,0,,0,,12,,0
76,5/20/2016 15:00:00,age50to59,,12,1,1,,0,,13,,1
77,1/23/2017 15:00:00,age80plus,1,1,,0,,0,,1,,0
78,3/2/2017 15:00:00,age70to79,1,7,,1,,0,,8,,1
79,3/30/2017 15:00:00,age70to79,,7,1,2,,0,,9,,2
80,4/5/2017 15:00:00,age30to39,1,13,,0,,0,,13,,0
81,4/14/2017 15:00:00,age60to69,1,13,,0,,0,,13,,0
82,5/20/2017 15:00:00,age10to19,1,11,,0,,0,,11,,0
83,1/18/2018 15:00:00,age30to39,1,14,,0,,0,,14,,0
84,2/18/2018 15:00:00,age70to79,1,8,,2,,0,,10,,2
85,3/5/2018 15:00:00,age60to69,1,14,,0,,0,,14,,0
86,3/18/2018 15:00:00,age10to19,1,12,,0,,0,,12,,0
87,4/27/2018 15:00:00,age10to19,1,13,,0,,0,,13,,0
88,9/28/2018 15:00:00,age50to59,1,13,,1,,0,,14,,1
89,1/30/2019 15:00:00,age70to79,1,9,,2,,0,,11,,2
90,2/1/2019 15:00:00,age20to29,1,8,,0,,0,,8,,0
91,2/19/2019 15:00:00,age50to59,1,14,,1,,0,,15,,1
92,2/22/2019 15:00:00,age10to19,1,14,,0,,0,,14,,0
93,3/1/2019 15:00:00,age20to29,1,9,,0,,0,,9,,0
94,3/1/2019 15:00:00,age30to39,1,15,,0,,0,,15,,0
95,3/1/2019 15:00:00,age60to69,1,15,,0,,0,,15,,0
96,3/15/2019 15:00:00,age30to39,1,16,,0,,0,,16,,0
97,3/15/2019 15:00:00,age40to49,1,17,,0,,0,,17,,0
98,3/23/2019 15:00:00,age40to49,1,18,,0,,0,,18,,0
99,3/27/2019 15:00:00,age20to29,1,10,,0,,0,,10,,0
100,3/28/2019 15:00:00,age20to29,1,11,,0,,0,,11,,0
101,4/1/2019 15:00:00,age20to29,1,12,,0,,0,,12,,0
102,4/5/2019 15:00:00,age30to39,,16,1,1,,0,,17,,1
103,4/7/2019 15:00:00,age60to69,1,16,,0,,0,,16,,0
104,4/22/2019 15:00:00,age50to59,1,15,,1,,0,,16,,1
105,4/28/2019 15:00:00,age10to19,1,15,,0,,0,,15,,0
106,6/21/2019 15:00:00,age60to69,1,17,,0,,0,,17,,0
107,7/15/2019 15:00:00,age10to19,1,16,,0,,0,,16,,0
108,10/21/2019 15:00:00,age10to19,1,17,,0,,0,,17,,0
109,12/9/2019 15:00:00,age50to59,1,16,,1,,0,,17,,1
110,12/16/2019 15:00:00,age30to39,1,17,,1,,0,,18,,1
111,12/26/2019 15:00:00,age30to39,1,18,,1,,0,,19,,1
112,1/1/2020 15:00:00,age20to29,2,14,,0,,0,,14,,0
113,1/1/2020 15:00:00,age30to39,1,19,,1,,0,,20,,1
114,1/1/2020 15:00:00,age40to49,2,20,,0,,0,,20,,0
115,1/2/2020 15:00:00,age20to29,1,15,,0,,0,,15,,0
116,1/3/2020 15:00:00,age30to39,1,20,,1,,0,,21,,1
117,1/4/2020 15:00:00,age50to59,1,17,,1,,0,,18,,1
118,1/5/2020 15:00:00,age40to49,1,21,,0,,0,,21,,0
119,1/5/2020 15:00:00,age50to59,2,19,,1,,0,,20,,1
120,1/6/2020 15:00:00,age50to59,2,21,,1,,0,,22,,1
121,1/6/2020 15:00:00,age80plus,1,2,,0,,0,,2,,0
122,1/8/2020 15:00:00,age30to39,1,21,,1,,0,,22,,1
123,1/9/2020 15:00:00,age50to59,1,22,,1,,0,,23,,1
124,1/10/2020 15:00:00,age40to49,1,22,,0,,0,,22,,0
125,1/11/2020 15:00:00,age20to29,1,16,,0,,0,,16,,0
126,1/11/2020 15:00:00,age60to69,1,18,,0,,0,,18,,0
127,1/12/2020 15:00:00,age70to79,1,10,,2,,0,,12,,2
128,1/14/2020 15:00:00,age20to29,1,17,,0,,0,,17,,0
129,1/15/2020 15:00:00,age40to49,1,23,,0,,0,,23,,0
130,1/15/2020 15:00:00,age50to59,1,23,,1,,0,,24,,1
131,1/16/2020 15:00:00,age50to59,1,24,,1,,0,,25,,1
132,1/17/2020 15:00:00,age30to39,1,22,,1,,0,,23,,1
133,1/17/2020 15:00:00,age60to69,1,19,,0,,0,,19,,0
134,1/18/2020 15:00:00,age50to59,1,25,,1,,0,,26,,1
135,1/20/2020 15:00:00,age70to79,2,12,,2,,0,,14,,2
136,1/20/2020 15:00:00,age80plus,2,4,,0,,0,,4,,0
137,1/21/2020 15:00:00,age30to39,1,23,,1,,0,,24,,1
138,1/21/2020 15:00:00,age60to69,1,20,,0,,0,,20,,0
139,1/21/2020 15:00:00,age70to79,1,13,,2,,0,,15,,2
140,1/21/2020 15:00:00,age80plus,1,5,,0,,0,,5,,0
141,1/22/2020 15:00:00,age30to39,2,25,,1,,0,,26,,1
142,1/23/2020 15:00:00,age70to79,1,14,,2,,0,,16,,2
143,1/25/2020 15:00:00,age70to79,1,15,,2,,0,,17,,2
144,1/26/2020 15:00:00,age50to59,1,26,,1,,0,,27,,1
145,1/26/2020 15:00:00,age70to79,1,16,,2,,0,,18,,2
146,1/26/2020 15:00:00,age80plus,1,6,,0,,0,,6,,0
147,1/27/2020 15:00:00,age40to49,2,25,,0,,0,,25,,0
148,1/27/2020 15:00:00,age70to79,1,17,,2,,0,,19,,2
149,1/28/2020 15:00:00,age20to29,,17,1,1,,0,,18,,1
150,1/28/2020 15:00:00,age40to49,1,26,,0,,0,,26,,0
151,1/28/2020 15:00:00,age70to79,,17,1,3,,0,,20,,3
152,1/29/2020 15:00:00,age20to29,1,18,,1,,0,,19,,1
153,1/29/2020 15:00:00,age30to39,2,27,,1,,0,,28,,1
154,1/30/2020 15:00:00,age20to29,,18,1,2,,0,,20,,2
155,1/30/2020 15:00:00,age40to49,1,27,,0,,0,,27,,0
156,1/31/2020 15:00:00,age30to39,1,28,,1,,0,,29,,1
157,1/31/2020 15:00:00,age70to79,1,18,,3,,0,,21,,3
158,2/1/2020 15:00:00,age50to59,1,27,,1,,0,,28,,1
159,2/1/2020 15:00:00,age60to69,4,24,,0,,0,,24,,0
160,2/1/2020 15:00:00,age70to79,3,21,,3,,0,,24,,3
161,2/1/2020 15:00:00,age80plus,3,9,,0,,0,,9,,0
162,2/2/2020 15:00:00,age40to49,,27,1,1,,0,,28,,1
163,2/2/2020 15:00:00,age70to79,1,22,,3,,0,,25,,3
164,2/3/2020 15:00:00,age20to29,1,19,,2,,0,,21,,2
165,2/3/2020 15:00:00,age30to39,1,29,,1,,0,,30,,1
166,2/3/2020 15:00:00,age40to49,1,28,,1,,0,,29,,1
167,2/3/2020 15:00:00,age60to69,1,25,,0,,0,,25,,0
168,2/4/2020 15:00:00,age30to39,1,30,1,2,,0,,32,,2
