OBJECTID,VACCINATION_DATE,AgeRange,DailyFirstDose,CumulativeFirstDose,DailySecondDose,CumulativeSecondDose
98,10/20/2020 15:00:00,age70to79,0,16,1,3
99,10/24/2020 15:00:00,age50to59,0,19,1,6
100,10/26/2020 15:00:00,age50to59,0,19,1,7
101,11/2/2020 15:00:00,age70to79,1,17,0,3
102,11/5/2020 15:00:00,age70to79,0,17,1,4
103,11/6/2020 15:00:00,age60to69,1,16,0,6
104,11/6/2020 15:00:00,age20to29,1,9,0,2
105,11/7/2020 15:00:00,age40to49,1,12,0,3
106,11/11/2020 15:00:00,age50to59,0,19,1,8
107,11/12/2020 15:00:00,age50to59,0,19,1,9
108,11/18/2020 15:00:00,age70to79,1,18,0,4
109,12/1/2020 15:00:00,age40to49,2,14,1,4
110,12/1/2020 15:00:00,age20to29,1,10,0,2
111,12/1/2020 15:00:00,age30to39,3,12,0,3
112,12/1/2020 15:00:00,age60to69,2,18,0,6
113,12/1/2020 15:00:00,age50to59,6,25,0,9
114,12/2/2020 15:00:00,age50to59,1,26,0,9
115,12/3/2020 15:00:00,age30to39,2,14,0,3
116,12/4/2020 15:00:00,age30to39,1,15,0,3
117,12/4/2020 15:00:00,age60to69,0,18,1,7
118,12/7/2020 15:00:00,age40to49,1,15,0,4
119,12/8/2020 15:00:00,age40to49,2,17,0,4
120,12/8/2020 15:00:00,age50to59,1,27,0,9
121,12/9/2020 15:00:00,age60to69,1,19,0,7
122,12/10/2020 15:00:00,age30to39,1,16,0,3
123,12/11/2020 15:00:00,age50to59,2,29,0,9
124,12/14/2020 15:00:00,age50to59,1,30,0,9
125,12/14/2020 15:00:00,age60to69,1,20,0,7
126,12/14/2020 15:00:00,age40to49,1,18,0,4
127,12/15/2020 15:00:00,age40to49,1,19,0,4
128,12/15/2020 15:00:00,age60to69,1,21,0,7
129,12/15/2020 15:00:00,age20to29,1,11,0,2
130,12/15/2020 15:00:00,age50to59,4,34,0,9
131,12/15/2020 15:00:00,age30to39,2,18,0,3
132,12/16/2020 15:00:00,age30to39,182,200,0,3
133,12/16/2020 15:00:00,age20to29,101,112,0,2
134,12/16/2020 15:00:00,age50to59,71,105,0,9
135,12/16/2020 15:00:00,age40to49,121,140,0,4
136,12/16/2020 15:00:00,age60to69,57,78,0,7
137,12/16/2020 15:00:00,age70to79,8,26,1,5
138,12/17/2020 15:00:00,age70to79,13,39,0,5
