OBJECTID,VACCINATION_DATE,AgeRange,DailyFirstDose,CumulativeFirstDose,DailySecondDose,CumulativeSecondDose
465,1/27/2021 15:00:00,age70to79,7071,58512,610,3703
466,1/27/2021 15:00:00,age40to49,2267,63610,2427,14754
467,1/27/2021 15:00:00,age20to29,1367,42165,1444,9191
468,1/27/2021 15:00:00,age30to39,2169,63767,2352,15633
469,1/28/2021 15:00:00,age30to39,2074,65841,1760,17393
470,1/28/2021 15:00:00,age10to19,85,2131,45,320
471,1/28/2021 15:00:00,age80plus,4044,52566,253,4220
472,1/28/2021 15:00:00,age50to59,2447,71497,1941,17675
473,1/28/2021 15:00:00,age60to69,3612,61575,1460,13165
474,1/28/2021 15:00:00,age40to49,2305,65915,1646,16400
475,1/28/2021 15:00:00,age70to79,6364,64876,506,4209
476,1/28/2021 15:00:00,age20to29,1182,43347,1207,10398
477,1/29/2021 15:00:00,age80plus,5015,57581,205,4425
478,1/29/2021 15:00:00,age50to59,2512,74009,1476,19151
479,1/29/2021 15:00:00,age60to69,3753,65328,1058,14223
480,1/29/2021 15:00:00,age10to19,119,2250,58,378
481,1/29/2021 15:00:00,age20to29,1217,44564,918,11316
482,1/29/2021 15:00:00,age30to39,2089,67930,1346,18739
483,1/29/2021 15:00:00,age40to49,2201,68116,1332,17732
484,1/29/2021 15:00:00,age70to79,6711,71587,290,4499
485,1/30/2021 15:00:00,age20to29,991,45555,407,11723
486,1/30/2021 15:00:00,age40to49,1729,69845,382,18114
487,1/30/2021 15:00:00,age70to79,5000,76587,131,4630
488,1/30/2021 15:00:00,age50to59,1771,75780,425,19576
489,1/30/2021 15:00:00,age60to69,2568,67896,315,14538
490,1/30/2021 15:00:00,age10to19,73,2323,5,383
491,1/30/2021 15:00:00,age80plus,3652,61233,108,4533
492,1/30/2021 15:00:00,age30to39,1514,69444,470,19209
493,1/31/2021 15:00:00,age20to29,278,45833,75,11798
494,1/31/2021 15:00:00,age30to39,483,69927,137,19346
495,1/31/2021 15:00:00,age70to79,613,77200,132,4762
496,1/31/2021 15:00:00,age40to49,522,70367,177,18291
497,1/31/2021 15:00:00,age50to59,535,76315,229,19805
498,1/31/2021 15:00:00,age80plus,599,61832,232,4765
499,1/31/2021 15:00:00,age10to19,30,2353,9,392
500,1/31/2021 15:00:00,age60to69,579,68475,190,14728
501,2/1/2021 15:00:00,age40to49,521,70888,753,19044
502,2/1/2021 15:00:00,age70to79,1456,78656,285,5047
503,2/1/2021 15:00:00,age30to39,448,70375,661,20007
504,2/1/2021 15:00:00,age20to29,305,46138,438,12236
505,2/1/2021 15:00:00,age10to19,68,2421,13,405
506,2/1/2021 15:00:00,age60to69,1066,69541,646,15374
507,2/1/2021 15:00:00,age50to59,669,76984,900,20705
508,2/1/2021 15:00:00,age80plus,1745,63577,288,5053
509,2/2/2021 15:00:00,age70to79,3266,81922,1023,6070
510,2/2/2021 15:00:00,age30to39,957,71332,2359,22366
511,2/2/2021 15:00:00,age40to49,1096,71984,2318,21362
512,2/2/2021 15:00:00,age10to19,92,2513,74,479
513,2/2/2021 15:00:00,age50to59,1256,78240,2614,23319
514,2/2/2021 15:00:00,age20to29,643,46781,1549,13785
515,2/2/2021 15:00:00,age80plus,2009,65586,1043,6096
516,2/2/2021 15:00:00,age60to69,2330,71871,2009,17383
517,2/3/2021 15:00:00,age70to79,4738,86660,1091,7161
518,2/3/2021 15:00:00,age40to49,1728,73712,3526,24888
519,2/3/2021 15:00:00,age30to39,1646,72978,3548,25914
520,2/3/2021 15:00:00,age20to29,1031,47812,2198,15983
521,2/3/2021 15:00:00,age10to19,93,2606,124,603
522,2/3/2021 15:00:00,age80plus,2977,68563,483,6579
523,2/3/2021 15:00:00,age50to59,1981,80221,3778,27097
524,2/3/2021 15:00:00,age60to69,3199,75070,2856,20239
525,2/4/2021 15:00:00,age60to69,4375,79445,2501,22740
526,2/4/2021 15:00:00,age70to79,5878,92538,1109,8270
527,2/4/2021 15:00:00,age30to39,1898,74876,2879,28793
528,2/4/2021 15:00:00,age40to49,1973,75685,2926,27814
529,2/4/2021 15:00:00,age50to59,2525,82746,3211,30308
530,2/4/2021 15:00:00,age80plus,3603,72166,519,7098
531,2/4/2021 15:00:00,age10to19,55,2661,76,679
532,2/4/2021 15:00:00,age20to29,1099,48911,1797,17780
533,2/5/2021 15:00:00,age10to19,71,2732,122,801
534,2/5/2021 15:00:00,age80plus,3562,75728,1170,8268
535,2/5/2021 15:00:00,age50to59,2294,85040,3447,33755
536,2/5/2021 15:00:00,age30to39,1882,76758,3067,31860
537,2/5/2021 15:00:00,age20to29,1194,50105,2192,19972
538,2/5/2021 15:00:00,age70to79,4856,97394,1292,9562
539,2/5/2021 15:00:00,age60to69,3982,83427,2468,25208
540,2/5/2021 15:00:00,age40to49,1939,77624,2899,30713
541,2/6/2021 15:00:00,age60to69,2009,85436,839,26047
542,2/6/2021 15:00:00,age70to79,2602,99996,535,10097
543,2/6/2021 15:00:00,age40to49,1273,78897,1117,31830
544,2/6/2021 15:00:00,age10to19,45,2777,33,834
545,2/6/2021 15:00:00,age50to59,1260,86300,1170,34925
546,2/6/2021 15:00:00,age80plus,1821,77549,546,8814
547,2/6/2021 15:00:00,age30to39,1246,78004,1045,32905
548,2/6/2021 15:00:00,age20to29,726,50831,737,20709
549,2/7/2021 15:00:00,age50to59,675,86975,240,35165
550,2/7/2021 15:00:00,age60to69,963,86399,249,26296
551,2/7/2021 15:00:00,age80plus,1238,78787,234,9048
552,2/7/2021 15:00:00,age10to19,26,2803,10,844
553,2/7/2021 15:00:00,age30to39,488,78492,209,33114
554,2/7/2021 15:00:00,age20to29,343,51174,206,20915
555,2/7/2021 15:00:00,age40to49,589,79486,187,32017
556,2/7/2021 15:00:00,age70to79,1407,101403,204,10301
557,2/8/2021 15:00:00,age70to79,3352,104755,1348,11649
558,2/8/2021 15:00:00,age40to49,1149,80635,2120,34137
559,2/8/2021 15:00:00,age80plus,2405,81192,1005,10053
560,2/8/2021 15:00:00,age50to59,1293,88268,2279,37444
561,2/8/2021 15:00:00,age60to69,2389,88788,1915,28211
562,2/8/2021 15:00:00,age10to19,40,2843,81,925
563,2/8/2021 15:00:00,age30to39,1140,79632,2063,35177
564,2/8/2021 15:00:00,age20to29,731,51905,1496,22411
565,2/9/2021 15:00:00,age60to69,3322,92110,1883,30094
566,2/9/2021 15:00:00,age80plus,2683,83875,1712,11765
567,2/9/2021 15:00:00,age50to59,1647,89915,2255,39699
568,2/9/2021 15:00:00,age10to19,64,2907,65,990
569,2/9/2021 15:00:00,age40to49,1523,82158,2056,36193
570,2/9/2021 15:00:00,age20to29,952,52857,1396,23807
571,2/9/2021 15:00:00,age70to79,4286,109041,1738,13387
572,2/9/2021 15:00:00,age30to39,1439,81071,2064,37241
573,2/10/2021 15:00:00,age60to69,3793,95903,2719,32813
574,2/10/2021 15:00:00,age80plus,3384,87259,2408,14173
575,2/10/2021 15:00:00,age10to19,92,2999,106,1096
576,2/10/2021 15:00:00,age20to29,940,53797,2139,25946
577,2/10/2021 15:00:00,age50to59,1933,91848,3640,43339
578,2/10/2021 15:00:00,age30to39,1516,82587,3297,40538
579,2/10/2021 15:00:00,age70to79,5528,114569,2872,16259
580,2/10/2021 15:00:00,age40to49,1615,83773,3383,39576
581,2/11/2021 15:00:00,age60to69,5115,101018,2086,34899
582,2/11/2021 15:00:00,age10to19,115,3114,113,1209
583,2/11/2021 15:00:00,age50to59,2531,94379,2739,46078
584,2/11/2021 15:00:00,age80plus,3121,90380,1759,15932
585,2/11/2021 15:00:00,age20to29,1263,55060,1894,27840
586,2/11/2021 15:00:00,age70to79,6128,120697,2568,18827
587,2/11/2021 15:00:00,age30to39,2062,84649,2715,43253
588,2/11/2021 15:00:00,age40to49,2228,86001,2731,42307
589,2/12/2021 15:00:00,age10to19,80,3194,113,1322
590,2/12/2021 15:00:00,age50to59,2559,96938,3305,49383
591,2/12/2021 15:00:00,age20to29,1288,56348,2214,30054
592,2/12/2021 15:00:00,age80plus,2285,92665,1938,17870
593,2/12/2021 15:00:00,age70to79,4600,125297,2879,21706
594,2/12/2021 15:00:00,age30to39,2107,86756,3028,46281
595,2/12/2021 15:00:00,age40to49,2223,88224,3011,45318
596,2/12/2021 15:00:00,age60to69,4519,105537,2460,37359
597,2/13/2021 15:00:00,age60to69,2313,107850,570,37929
598,2/13/2021 15:00:00,age70to79,2891,128188,1457,23163
599,2/13/2021 15:00:00,age40to49,1059,89283,683,46001
600,2/13/2021 15:00:00,age80plus,1763,94428,1096,18966
601,2/13/2021 15:00:00,age10to19,44,3238,28,1350
602,2/13/2021 15:00:00,age20to29,544,56892,642,30696
603,2/13/2021 15:00:00,age50to59,1191,98129,669,50052
604,2/13/2021 15:00:00,age30to39,1040,87796,772,47053
605,2/14/2021 15:00:00,age50to59,904,99033,285,50337
606,2/14/2021 15:00:00,age80plus,550,94978,415,19381
607,2/14/2021 15:00:00,age30to39,779,88575,246,47299
608,2/14/2021 15:00:00,age20to29,410,57302,165,30861
609,2/14/2021 15:00:00,age70to79,1536,129724,352,23515
610,2/14/2021 15:00:00,age40to49,845,90128,199,46200
611,2/14/2021 15:00:00,age60to69,1811,109661,221,38150
612,2/14/2021 15:00:00,age10to19,41,3279,13,1363
613,2/15/2021 15:00:00,age20to29,626,57928,1055,31916
614,2/15/2021 15:00:00,age70to79,3193,132917,2802,26317
615,2/15/2021 15:00:00,age40to49,1012,91140,1487,47687
616,2/15/2021 15:00:00,age60to69,2983,112644,1407,39557
617,2/15/2021 15:00:00,age50to59,1131,100164,1435,51772
618,2/15/2021 15:00:00,age80plus,1609,96587,2276,21657
619,2/15/2021 15:00:00,age10to19,50,3329,72,1435
620,2/15/2021 15:00:00,age30to39,1029,89604,1458,48757
621,2/16/2021 15:00:00,age30to39,1598,91202,2085,50842
622,2/16/2021 15:00:00,age20to29,915,58843,1478,33394
623,2/16/2021 15:00:00,age40to49,1668,92808,2231,49918
624,2/16/2021 15:00:00,age70to79,4408,137325,5031,31348
625,2/16/2021 15:00:00,age80plus,2150,98737,4234,25891
626,2/16/2021 15:00:00,age60to69,3496,116140,2722,42279
627,2/16/2021 15:00:00,age50to59,2115,102279,2475,54247
628,2/16/2021 15:00:00,age10to19,81,3410,73,1508
629,2/17/2021 15:00:00,age30to39,2254,93456,2791,53633
630,2/17/2021 15:00:00,age40to49,2570,95378,2890,52808
631,2/17/2021 15:00:00,age20to29,1388,60231,1830,35224
632,2/17/2021 15:00:00,age70to79,4752,142077,6060,37408
633,2/17/2021 15:00:00,age10to19,61,3471,95,1603
634,2/17/2021 15:00:00,age50to59,2879,105158,3253,57500
635,2/17/2021 15:00:00,age60to69,3699,119839,3382,45661
636,2/17/2021 15:00:00,age80plus,2870,101607,5203,31094
637,2/18/2021 15:00:00,age30to39,378,93834,530,54163
638,2/18/2021 15:00:00,age70to79,728,142805,691,38099
639,2/18/2021 15:00:00,age40to49,400,95778,559,53367
640,2/18/2021 15:00:00,age10to19,26,3497,7,1610
641,2/18/2021 15:00:00,age20to29,221,60452,296,35520
642,2/18/2021 15:00:00,age80plus,329,101936,829,31923
643,2/18/2021 15:00:00,age50to59,460,105618,665,58165
644,2/18/2021 15:00:00,age60to69,771,120610,555,46216
645,2/19/2021 15:00:00,age40to49,1126,96904,2385,55752
646,2/19/2021 15:00:00,age70to79,2739,145544,3919,42018
647,2/19/2021 15:00:00,age30to39,1069,94903,2258,56421
648,2/19/2021 15:00:00,age20to29,623,61075,1412,36932
649,2/19/2021 15:00:00,age50to59,1310,106928,2655,60820
650,2/19/2021 15:00:00,age10to19,76,3573,69,1679
651,2/19/2021 15:00:00,age80plus,1608,103544,3259,35182
652,2/19/2021 15:00:00,age60to69,2156,122766,2794,49010
653,2/20/2021 15:00:00,age40to49,1103,98007,2317,58069
654,2/20/2021 15:00:00,age70to79,2611,148155,4687,46705
655,2/20/2021 15:00:00,age30to39,935,95838,2165,58586
656,2/20/2021 15:00:00,age60to69,1788,124554,2759,51769
657,2/20/2021 15:00:00,age20to29,565,61640,1306,38238
658,2/20/2021 15:00:00,age50to59,1296,108224,2334,63154
659,2/20/2021 15:00:00,age10to19,61,3634,109,1788
660,2/20/2021 15:00:00,age80plus,1663,105207,3950,39132
661,2/21/2021 15:00:00,age20to29,286,61926,285,38523
662,2/21/2021 15:00:00,age80plus,1047,106254,2402,41534
663,2/21/2021 15:00:00,age50to59,634,108858,657,63811
664,2/21/2021 15:00:00,age10to19,41,3675,25,1813
665,2/21/2021 15:00:00,age30to39,460,96298,481,59067
666,2/21/2021 15:00:00,age70to79,1861,150016,2032,48737
667,2/21/2021 15:00:00,age40to49,549,98556,613,58682
668,2/21/2021 15:00:00,age60to69,1146,125700,679,52448
669,2/22/2021 15:00:00,age40to49,752,99308,1730,60412
670,2/22/2021 15:00:00,age70to79,2326,152342,3559,52296
671,2/22/2021 15:00:00,age60to69,1862,127562,2143,54591
672,2/22/2021 15:00:00,age10to19,38,3713,81,1894
673,2/22/2021 15:00:00,age30to39,773,97071,1588,60655
674,2/22/2021 15:00:00,age80plus,807,107061,2795,44329
675,2/22/2021 15:00:00,age50to59,968,109826,1866,65677
676,2/22/2021 15:00:00,age20to29,530,62456,1008,39531
677,2/23/2021 15:00:00,age80plus,2125,109186,3077,47406
678,2/23/2021 15:00:00,age30to39,1479,98550,1280,61935
679,2/23/2021 15:00:00,age50to59,1823,111649,1424,67101
680,2/23/2021 15:00:00,age10to19,97,3810,103,1997
681,2/23/2021 15:00:00,age20to29,1017,63473,867,40398
682,2/23/2021 15:00:00,age40to49,1555,100863,1320,61732
683,2/23/2021 15:00:00,age70to79,4178,156520,4623,56919
684,2/23/2021 15:00:00,age60to69,3127,130689,2478,57069
685,2/24/2021 15:00:00,age40to49,1896,102759,2312,64044
686,2/24/2021 15:00:00,age70to79,4394,160914,7274,64193
687,2/24/2021 15:00:00,age10to19,119,3929,81,2078
688,2/24/2021 15:00:00,age80plus,2006,111192,4623,52029
689,2/24/2021 15:00:00,age60to69,4083,134772,3895,60964
690,2/24/2021 15:00:00,age50to59,2365,114014,2396,69497
691,2/24/2021 15:00:00,age20to29,1035,64508,1347,41745
692,2/24/2021 15:00:00,age30to39,1825,100375,2142,64077
693,2/25/2021 15:00:00,age10to19,117,4046,94,2172
694,2/25/2021 15:00:00,age80plus,2599,113791,4681,56710
695,2/25/2021 15:00:00,age60to69,4779,139551,4676,65640
696,2/25/2021 15:00:00,age50to59,2251,116265,2745,72242
697,2/25/2021 15:00:00,age20to29,1061,65569,1331,43076
698,2/25/2021 15:00:00,age30to39,1829,102204,2325,66402
699,2/25/2021 15:00:00,age40to49,1832,104591,2489,66533
700,2/25/2021 15:00:00,age70to79,5397,166311,7421,71614
701,2/26/2021 15:00:00,age10to19,133,4179,86,2258
702,2/26/2021 15:00:00,age60to69,6684,146235,4124,69764
703,2/26/2021 15:00:00,age50to59,2790,119055,3030,75272
704,2/26/2021 15:00:00,age80plus,3061,116852,4763,61473
705,2/26/2021 15:00:00,age70to79,7075,173386,6346,77960
706,2/26/2021 15:00:00,age40to49,2390,106981,2766,69299
707,2/26/2021 15:00:00,age20to29,1605,67174,1574,44650
708,2/26/2021 15:00:00,age30to39,2363,104567,2506,68908
709,2/27/2021 15:00:00,age80plus,1351,118203,2125,63598
710,2/27/2021 15:00:00,age60to69,3862,150097,1674,71438
711,2/27/2021 15:00:00,age30to39,1635,106202,1101,70009
712,2/27/2021 15:00:00,age40to49,1684,108665,1046,70345
713,2/27/2021 15:00:00,age70to79,3878,177264,2672,80632
714,2/27/2021 15:00:00,age20to29,1093,68267,769,45419
715,2/27/2021 15:00:00,age10to19,146,4325,43,2301
716,2/27/2021 15:00:00,age50to59,2031,121086,1173,76445
717,2/28/2021 15:00:00,age10to19,103,4428,15,2316
718,2/28/2021 15:00:00,age50to59,2106,123192,454,76899
719,2/28/2021 15:00:00,age80plus,1079,119282,919,64517
720,2/28/2021 15:00:00,age20to29,949,69216,241,45660
721,2/28/2021 15:00:00,age40to49,1714,110379,407,70752
722,2/28/2021 15:00:00,age30to39,1525,107727,380,70389
723,2/28/2021 15:00:00,age70to79,3715,180979,1159,81791
724,2/28/2021 15:00:00,age60to69,4153,154250,741,72179
725,3/1/2021 15:00:00,age60to69,6409,160659,1712,73891
726,3/1/2021 15:00:00,age10to19,171,4599,41,2357
727,3/1/2021 15:00:00,age80plus,2016,121298,2861,67378
728,3/1/2021 15:00:00,age20to29,1416,70632,522,46182
729,3/1/2021 15:00:00,age50to59,3269,126461,985,77884
730,3/1/2021 15:00:00,age30to39,2412,110139,859,71248
731,3/1/2021 15:00:00,age70to79,5554,186533,3246,85037
732,3/1/2021 15:00:00,age40to49,2638,113017,861,71613
733,3/2/2021 15:00:00,age50to59,2983,129444,1213,79097
734,3/2/2021 15:00:00,age20to29,1390,72022,535,46717
735,3/2/2021 15:00:00,age10to19,133,4732,39,2396
736,3/2/2021 15:00:00,age30to39,2147,112286,993,72241
737,3/2/2021 15:00:00,age80plus,2515,123813,2556,69934
738,3/2/2021 15:00:00,age40to49,2375,115392,1108,72721
739,3/2/2021 15:00:00,age60to69,5802,166461,2570,76461
740,3/2/2021 15:00:00,age70to79,5766,192299,3529,88566
741,3/3/2021 15:00:00,age60to69,7418,173879,3383,79844
742,3/3/2021 15:00:00,age40to49,3301,118693,1818,74539
743,3/3/2021 15:00:00,age70to79,6750,199049,4614,93180
744,3/3/2021 15:00:00,age20to29,1922,73944,1005,47722
745,3/3/2021 15:00:00,age30to39,3067,115353,1599,73840
746,3/3/2021 15:00:00,age80plus,2483,126296,3146,73080
747,3/3/2021 15:00:00,age10to19,176,4908,61,2457
748,3/3/2021 15:00:00,age50to59,3950,133394,2000,81097
749,3/4/2021 15:00:00,age20to29,2217,76161,836,48558
750,3/4/2021 15:00:00,age30to39,3495,118848,1438,75278
751,3/4/2021 15:00:00,age80plus,2636,128932,3081,76161
752,3/4/2021 15:00:00,age50to59,4448,137842,1851,82948
753,3/4/2021 15:00:00,age10to19,205,5113,64,2521
754,3/4/2021 15:00:00,age60to69,8982,182861,3525,83369
755,3/4/2021 15:00:00,age40to49,3581,122274,1547,76086
756,3/4/2021 15:00:00,age70to79,8193,207242,5104,98284
757,3/5/2021 15:00:00,age40to49,3058,125332,1860,77946
758,3/5/2021 15:00:00,age70to79,8303,215545,4643,102927
759,3/5/2021 15:00:00,age20to29,1974,78135,1123,49681
760,3/5/2021 15:00:00,age30to39,2845,121693,1799,77077
761,3/5/2021 15:00:00,age60to69,9117,191978,3900,87269
762,3/5/2021 15:00:00,age50to59,4165,142007,2244,85192
763,3/5/2021 15:00:00,age80plus,2882,131814,2804,78965
764,3/5/2021 15:00:00,age10to19,201,5314,79,2600
765,3/6/2021 15:00:00,age20to29,1894,80029,549,50230
766,3/6/2021 15:00:00,age30to39,2604,124297,913,77990
767,3/6/2021 15:00:00,age40to49,2792,128124,927,78873
768,3/6/2021 15:00:00,age70to79,4850,220395,2017,104944
769,3/6/2021 15:00:00,age60to69,6107,198085,1951,89220
770,3/6/2021 15:00:00,age80plus,1126,132940,1053,80018
771,3/6/2021 15:00:00,age10to19,233,5547,52,2652
772,3/6/2021 15:00:00,age50to59,3650,145657,1043,86235
773,3/7/2021 15:00:00,age30to39,2157,126454,504,78494
774,3/7/2021 15:00:00,age70to79,3673,224068,1102,106046
775,3/7/2021 15:00:00,age40to49,2365,130489,496,79369
776,3/7/2021 15:00:00,age20to29,1465,81494,302,50532
777,3/7/2021 15:00:00,age10to19,170,5717,34,2686
778,3/7/2021 15:00:00,age80plus,804,133744,422,80440
779,3/7/2021 15:00:00,age60to69,4994,203079,1064,90284
780,3/7/2021 15:00:00,age50to59,2815,148472,512,86747
781,3/8/2021 15:00:00,age70to79,7310,231378,2135,108181
782,3/8/2021 15:00:00,age30to39,3305,129759,930,79424
783,3/8/2021 15:00:00,age40to49,3654,134143,841,80210
784,3/8/2021 15:00:00,age50to59,4622,153094,977,87724
785,3/8/2021 15:00:00,age80plus,1979,135723,1053,81493
786,3/8/2021 15:00:00,age10to19,276,5993,34,2720
787,3/8/2021 15:00:00,age20to29,2154,83648,552,51084
788,3/8/2021 15:00:00,age60to69,9962,213041,1748,92032
789,3/9/2021 15:00:00,age30to39,3527,133286,1316,80740
790,3/9/2021 15:00:00,age70to79,7100,238478,4146,112327
791,3/9/2021 15:00:00,age40to49,3604,137747,1405,81615
792,3/9/2021 15:00:00,age50to59,4817,157911,1703,89427
793,3/9/2021 15:00:00,age10to19,289,6282,90,2810
794,3/9/2021 15:00:00,age80plus,2166,137889,2042,83535
795,3/9/2021 15:00:00,age20to29,2509,86157,837,51921
796,3/9/2021 15:00:00,age60to69,9542,222583,3313,95345
797,3/10/2021 15:00:00,age60to69,9821,232404,2995,98340
798,3/10/2021 15:00:00,age40to49,4278,142025,1769,83384
799,3/10/2021 15:00:00,age70to79,7261,245739,4010,116337
800,3/10/2021 15:00:00,age30to39,3907,137193,1640,82380
801,3/10/2021 15:00:00,age10to19,326,6608,65,2875
802,3/10/2021 15:00:00,age50to59,5679,163590,1953,91380
803,3/10/2021 15:00:00,age20to29,2832,88989,956,52877
804,3/10/2021 15:00:00,age80plus,2511,140400,1985,85520
805,3/11/2021 15:00:00,age80plus,2171,142571,2361,87881
806,3/11/2021 15:00:00,age50to59,5687,169277,1752,93132
807,3/11/2021 15:00:00,age30to39,3945,141138,1386,83766
808,3/11/2021 15:00:00,age10to19,393,7001,48,2923
809,3/11/2021 15:00:00,age60to69,10223,242627,3465,101805
810,3/11/2021 15:00:00,age40to49,4179,146204,1521,84905
811,3/11/2021 15:00:00,age70to79,7060,252799,4428,120765
812,3/11/2021 15:00:00,age20to29,2945,91934,754,53631
813,3/12/2021 15:00:00,age10to19,396,7397,67,2990
814,3/12/2021 15:00:00,age50to59,6118,175395,1930,95062
815,3/12/2021 15:00:00,age80plus,2223,144794,1740,89621
816,3/12/2021 15:00:00,age60to69,9807,252434,3603,105408
817,3/12/2021 15:00:00,age40to49,4333,150537,1845,86750
818,3/12/2021 15:00:00,age70to79,7514,260313,3894,124659
819,3/12/2021 15:00:00,age20to29,3128,95062,1054,54685
820,3/12/2021 15:00:00,age30to39,4164,145302,1786,85552
821,3/13/2021 15:00:00,age30to39,2848,148150,880,86432
822,3/13/2021 15:00:00,age10to19,408,7805,34,3024
823,3/13/2021 15:00:00,age80plus,736,145530,1074,90695
824,3/13/2021 15:00:00,age50to59,4159,179554,1114,96176
825,3/13/2021 15:00:00,age60to69,5819,258253,1955,107363
826,3/13/2021 15:00:00,age70to79,3187,263500,2159,126818
827,3/13/2021 15:00:00,age40to49,3104,153641,1011,87761
828,3/13/2021 15:00:00,age20to29,2191,97253,453,55138
829,3/14/2021 15:00:00,age80plus,401,145931,453,91148
830,3/14/2021 15:00:00,age50to59,3323,182877,645,96821
831,3/14/2021 15:00:00,age10to19,353,8158,40,3064
832,3/14/2021 15:00:00,age60to69,4145,262398,1386,108749
833,3/14/2021 15:00:00,age70to79,1881,265381,1321,128139
834,3/14/2021 15:00:00,age40to49,2778,156419,594,88355
835,3/14/2021 15:00:00,age30to39,2316,150466,553,86985
836,3/14/2021 15:00:00,age20to29,1768,99021,307,55445
837,3/15/2021 15:00:00,age80plus,1117,147048,1111,92259
838,3/15/2021 15:00:00,age50to59,5482,188359,1135,97956
839,3/15/2021 15:00:00,age60to69,6734,269132,2699,111448
840,3/15/2021 15:00:00,age10to19,493,8651,52,3116
841,3/15/2021 15:00:00,age30to39,4027,154493,897,87882
842,3/15/2021 15:00:00,age40to49,4397,160816,1011,89366
843,3/15/2021 15:00:00,age20to29,3025,102046,515,55960
844,3/15/2021 15:00:00,age70to79,3703,269084,2884,131023
845,3/16/2021 15:00:00,age60to69,8335,277467,2885,114333
846,3/16/2021 15:00:00,age20to29,3205,105251,674,56634
847,3/16/2021 15:00:00,age50to59,6057,194416,1554,99510
848,3/16/2021 15:00:00,age10to19,544,9195,49,3165
849,3/16/2021 15:00:00,age80plus,1546,148594,1663,93922
850,3/16/2021 15:00:00,age40to49,4558,165374,1224,90590
851,3/16/2021 15:00:00,age30to39,4258,158751,1187,89069
852,3/16/2021 15:00:00,age70to79,4724,273808,3712,134735
853,3/17/2021 15:00:00,age60to69,9471,286938,3167,117500
854,3/17/2021 15:00:00,age50to59,6785,201201,1888,101398
855,3/17/2021 15:00:00,age10to19,680,9875,95,3260
856,3/17/2021 15:00:00,age20to29,3458,108709,940,57574
857,3/17/2021 15:00:00,age80plus,1751,150345,2671,96593
858,3/17/2021 15:00:00,age70to79,5759,279567,4458,139193
859,3/17/2021 15:00:00,age40to49,5073,170447,1591,92181
860,3/17/2021 15:00:00,age30to39,4629,163380,1447,90516
861,3/18/2021 15:00:00,age20to29,4324,113033,712,58286
862,3/18/2021 15:00:00,age80plus,1426,151771,1025,97618
863,3/18/2021 15:00:00,age10to19,753,10628,78,3338
864,3/18/2021 15:00:00,age30to39,5631,169011,1260,91776
865,3/18/2021 15:00:00,age50to59,7958,209159,1432,102830
866,3/18/2021 15:00:00,age60to69,10244,297182,2991,120491
867,3/18/2021 15:00:00,age70to79,5057,284624,2834,142027
868,3/18/2021 15:00:00,age40to49,6042,176489,1243,93424
869,3/19/2021 15:00:00,age40to49,5292,181781,1271,94695
870,3/19/2021 15:00:00,age70to79,4693,289317,4197,146224
871,3/19/2021 15:00:00,age60to69,9423,306605,3246,123737
872,3/19/2021 15:00:00,age50to59,7306,216465,1420,104250
873,3/19/2021 15:00:00,age20to29,3667,116700,749,59035
874,3/19/2021 15:00:00,age80plus,1507,153278,1994,99612
875,3/19/2021 15:00:00,age30to39,4866,173877,1271,93047
876,3/19/2021 15:00:00,age10to19,661,11289,73,3411
877,3/20/2021 15:00:00,age20to29,2691,119391,694,59729
878,3/20/2021 15:00:00,age30to39,3748,177625,1107,94154
879,3/20/2021 15:00:00,age80plus,563,153841,1055,100667
880,3/20/2021 15:00:00,age70to79,1969,291286,2243,148467
881,3/20/2021 15:00:00,age60to69,5649,312254,2065,125802
882,3/20/2021 15:00:00,age40to49,4037,185818,1111,95806
883,3/20/2021 15:00:00,age10to19,630,11919,73,3484
884,3/20/2021 15:00:00,age50to59,5163,221628,1276,105526
885,3/21/2021 15:00:00,age20to29,1944,121335,335,60064
886,3/21/2021 15:00:00,age70to79,1084,292370,1537,150004
887,3/21/2021 15:00:00,age40to49,2847,188665,614,96420
888,3/21/2021 15:00:00,age30to39,2683,180308,557,94711
889,3/21/2021 15:00:00,age10to19,460,12379,29,3513
890,3/21/2021 15:00:00,age50to59,3705,225333,749,106275
891,3/21/2021 15:00:00,age80plus,342,154183,758,101425
892,3/21/2021 15:00:00,age60to69,3886,316140,1287,127089
893,3/22/2021 15:00:00,age20to29,3418,124753,634,60698
894,3/22/2021 15:00:00,age30to39,4732,185040,1043,95754
895,3/22/2021 15:00:00,age70to79,2808,295178,2791,152795
896,3/22/2021 15:00:00,age40to49,4976,193641,1185,97605
897,3/22/2021 15:00:00,age60to69,7603,323743,2345,129434
898,3/22/2021 15:00:00,age80plus,1263,155446,1233,102658
899,3/22/2021 15:00:00,age50to59,6695,232028,1340,107615
900,3/22/2021 15:00:00,age10to19,741,13120,75,3588
901,3/23/2021 15:00:00,age70to79,3305,298483,4100,156895
902,3/23/2021 15:00:00,age20to29,3848,128601,1106,61804
903,3/23/2021 15:00:00,age30to39,5205,190245,1696,97450
904,3/23/2021 15:00:00,age40to49,5630,199271,1778,99383
905,3/23/2021 15:00:00,age10to19,947,14067,92,3680
906,3/23/2021 15:00:00,age50to59,7302,239330,2020,109635
907,3/23/2021 15:00:00,age60to69,10697,334440,3528,132962
908,3/23/2021 15:00:00,age80plus,887,156333,1921,104579
