VACCINATION_DATE,AgeRange,FirstDailyDose,PercentFirstDailyDose,SecondDailyDose,PercentSecondDailyDose,SingleDailyDose,PercentSingleDailyDose,CombinedAllDoses,PercentCombinedAllDoses,FullyVaccinated,PercentFullyVaccinated,AtLeastOneVaccine,PercentAtLeastOneVaccine
2021-03-04,12-17,27.0,0.006,20.0,0.004,2.0,0.0,49.0,0.011,22.0,0.005,29.0,0.006
2021-03-04,18-49,8454.0,0.335,3950.0,0.157,1313.0,0.052,13717.0,0.544,5263.0,0.209,9767.0,0.387
2021-03-04,50-64,6377.0,0.519,2949.0,0.24,1038.0,0.085,10364.0,0.844,3987.0,0.325,7415.0,0.604
2021-03-04,65 and Older,15676.0,1.634,10801.0,1.126,1707.0,0.178,28184.0,2.938,12508.0,1.304,17383.0,1.812
2021-03-05,12-17,32.0,0.007,16.0,0.004,1.0,0.0,49.0,0.011,17.0,0.004,33.0,0.007
2021-03-05,18-49,7204.0,0.285,4902.0,0.194,1176.0,0.047,13282.0,0.526,6078.0,0.241,8380.0,0.332
2021-03-05,50-64,6022.0,0.49,3475.0,0.283,985.0,0.08,10482.0,0.853,4460.0,0.363,7007.0,0.571
2021-03-05,65 and Older,15215.0,1.586,10344.0,1.078,2689.0,0.28,28248.0,2.944,13033.0,1.358,17904.0,1.866
2021-03-06,12-17,67.0,0.015,14.0,0.003,3.0,0.001,84.0,0.019,17.0,0.004,70.0,0.015
2021-03-06,18-49,5343.0,0.212,2481.0,0.098,2164.0,0.086,9988.0,0.396,4645.0,0.184,7507.0,0.297
2021-03-06,50-64,4208.0,0.343,1726.0,0.141,1635.0,0.133,7569.0,0.616,3361.0,0.274,5843.0,0.476
2021-03-06,65 and Older,7954.0,0.829,4451.0,0.464,2149.0,0.224,14554.0,1.517,6600.0,0.688,10103.0,1.053
2021-03-07,12-17,39.0,0.009,15.0,0.003,1.0,0.0,55.0,0.012,16.0,0.004,40.0,0.009
2021-03-07,18-49,3523.0,0.14,1411.0,0.056,2614.0,0.104,7548.0,0.299,4025.0,0.16,6137.0,0.243
2021-03-07,50-64,2625.0,0.214,819.0,0.067,1801.0,0.147,5245.0,0.427,2620.0,0.213,4426.0,0.36
2021-03-07,65 and Older,5744.0,0.599,2456.0,0.256,2144.0,0.223,10344.0,1.078,4600.0,0.479,7888.0,0.822
2021-03-08,12-17,79.0,0.017,13.0,0.003,,,,,,,79.0,0.017
2021-03-08,18-49,6750.0,0.267,2390.0,0.095,2661.0,0.105,11801.0,0.468,5051.0,0.2,9411.0,0.373
2021-03-08,50-64,5546.0,0.452,1548.0,0.126,2058.0,0.168,9152.0,0.745,3606.0,0.294,7604.0,0.619
2021-03-08,65 and Older,13045.0,1.36,4483.0,0.467,3470.0,0.362,20998.0,2.189,7953.0,0.829,16515.0,1.721
2021-03-09,12-17,90.0,0.02,22.0,0.005,1.0,0.0,113.0,0.025,23.0,0.005,91.0,0.02
2021-03-09,18-49,7259.0,0.288,3700.0,0.147,2698.0,0.107,13657.0,0.541,6398.0,0.254,9957.0,0.395
2021-03-09,50-64,5933.0,0.483,2702.0,0.22,1972.0,0.161,10607.0,0.864,4674.0,0.381,7905.0,0.644
2021-03-09,65 and Older,12386.0,1.291,8627.0,0.899,3580.0,0.373,24593.0,2.563,12207.0,1.272,15966.0,1.664
2021-03-10,12-17,96.0,0.021,12.0,0.003,,,,,,,96.0,0.021
2021-03-10,18-49,8384.0,0.332,4472.0,0.177,3068.0,0.122,15924.0,0.631,7540.0,0.299,11452.0,0.454
2021-03-10,50-64,7066.0,0.575,2945.0,0.24,2291.0,0.187,12302.0,1.002,5236.0,0.426,9357.0,0.762
2021-03-10,65 and Older,13693.0,1.427,8097.0,0.844,2550.0,0.266,24340.0,2.537,10647.0,1.11,16243.0,1.693
2021-03-11,12-17,125.0,0.028,7.0,0.002,,,,,,,125.0,0.028
2021-03-11,18-49,10632.0,0.421,3790.0,0.15,1124.0,0.045,15546.0,0.616,4914.0,0.195,11756.0,0.466
2021-03-11,50-64,8729.0,0.711,2774.0,0.226,992.0,0.081,12495.0,1.017,3766.0,0.307,9721.0,0.791
2021-03-11,65 and Older,14129.0,1.473,9493.0,0.989,1816.0,0.189,25438.0,2.651,11309.0,1.179,15945.0,1.662
2021-03-12,12-17,131.0,0.029,16.0,0.004,,,,,,,131.0,0.029
2021-03-12,18-49,11720.0,0.464,5141.0,0.204,848.0,0.034,17709.0,0.702,5989.0,0.237,12568.0,0.498
2021-03-12,50-64,9445.0,0.769,3245.0,0.264,825.0,0.067,13515.0,1.1,4070.0,0.331,10270.0,0.836
2021-03-12,65 and Older,15157.0,1.58,9219.0,0.961,1210.0,0.126,25586.0,2.667,10429.0,1.087,16367.0,1.706
2021-03-13,12-17,158.0,0.035,9.0,0.002,1.0,0.0,168.0,0.037,10.0,0.002,159.0,0.035
2021-03-13,18-49,8526.0,0.338,2673.0,0.106,447.0,0.018,11646.0,0.462,3120.0,0.124,8973.0,0.356
2021-03-13,50-64,6518.0,0.531,1877.0,0.153,620.0,0.05,9015.0,0.734,2497.0,0.203,7138.0,0.581
2021-03-13,65 and Older,7218.0,0.752,5396.0,0.562,493.0,0.051,13107.0,1.366,5889.0,0.614,7711.0,0.804
2021-03-14,12-17,153.0,0.034,16.0,0.004,,,,,,,153.0,0.034
2021-03-14,18-49,7425.0,0.294,1781.0,0.071,368.0,0.015,9574.0,0.379,2149.0,0.085,7793.0,0.309
2021-03-14,50-64,5382.0,0.438,1174.0,0.096,345.0,0.028,6901.0,0.562,1519.0,0.124,5727.0,0.466
2021-03-14,65 and Older,4729.0,0.493,3562.0,0.371,253.0,0.026,8544.0,0.891,3815.0,0.398,4982.0,0.519
2021-03-15,12-17,160.0,0.035,20.0,0.004,,,,,,,160.0,0.035
2021-03-15,18-49,11962.0,0.474,2588.0,0.103,192.0,0.008,14742.0,0.584,2780.0,0.11,12154.0,0.482
2021-03-15,50-64,8836.0,0.719,1833.0,0.149,170.0,0.014,10839.0,0.883,2003.0,0.163,9006.0,0.733
2021-03-15,65 and Older,8370.0,0.872,6424.0,0.67,196.0,0.02,14990.0,1.562,6620.0,0.69,8566.0,0.893
2021-03-16,12-17,207.0,0.046,17.0,0.004,,,,,,,207.0,0.046
2021-03-16,18-49,12431.0,0.493,3180.0,0.126,172.0,0.007,15783.0,0.625,3352.0,0.133,12603.0,0.499
2021-03-16,50-64,9601.0,0.782,2386.0,0.194,228.0,0.019,12215.0,0.995,2614.0,0.213,9829.0,0.8
2021-03-16,65 and Older,10718.0,1.117,7527.0,0.785,360.0,0.038,18605.0,1.939,7887.0,0.822,11078.0,1.155
2021-03-17,12-17,249.0,0.055,39.0,0.009,,,,,,,249.0,0.055
2021-03-17,18-49,13366.0,0.53,4120.0,0.163,481.0,0.019,17967.0,0.712,4601.0,0.182,13847.0,0.549
2021-03-17,50-64,10537.0,0.858,2955.0,0.241,384.0,0.031,13876.0,1.13,3339.0,0.272,10921.0,0.889
2021-03-17,65 and Older,12910.0,1.346,9393.0,0.979,277.0,0.029,22580.0,2.354,9670.0,1.008,13187.0,1.375
2021-03-18,12-17,225.0,0.05,31.0,0.007,,,,,,,225.0,0.05
2021-03-18,18-49,16335.0,0.647,3370.0,0.134,551.0,0.022,20256.0,0.803,3921.0,0.155,16886.0,0.669
2021-03-18,50-64,12551.0,1.022,2263.0,0.184,428.0,0.035,15242.0,1.241,2691.0,0.219,12979.0,1.057
2021-03-18,65 and Older,11758.0,1.226,6464.0,0.674,358.0,0.037,18580.0,1.937,6822.0,0.711,12116.0,1.263
2021-03-19,12-17,188.0,0.042,25.0,0.006,,,,,,,188.0,0.042
2021-03-19,18-49,14444.0,0.572,3548.0,0.141,359.0,0.014,18351.0,0.727,3907.0,0.155,14803.0,0.587
2021-03-19,50-64,11879.0,0.967,2335.0,0.19,377.0,0.031,14591.0,1.188,2712.0,0.221,12256.0,0.998
2021-03-19,65 and Older,11034.0,1.15,9009.0,0.939,284.0,0.03,20327.0,2.119,9293.0,0.969,11318.0,1.18
2021-03-20,12-17,241.0,0.053,34.0,0.008,,,,,,,241.0,0.053
2021-03-20,18-49,10716.0,0.425,2997.0,0.119,261.0,0.01,13974.0,0.554,3258.0,0.129,10977.0,0.435
2021-03-20,50-64,8286.0,0.675,1956.0,0.159,261.0,0.021,10503.0,0.855,2217.0,0.181,8547.0,0.696
2021-03-20,65 and Older,4918.0,0.513,4758.0,0.496,152.0,0.016,9828.0,1.024,4910.0,0.512,5070.0,0.528
2021-03-21,12-17,218.0,0.048,31.0,0.007,,,,,,,218.0,0.048
2021-03-21,18-49,8708.0,0.345,2185.0,0.087,136.0,0.005,11029.0,0.437,2321.0,0.092,8844.0,0.35
2021-03-21,50-64,6733.0,0.548,1457.0,0.119,115.0,0.009,8305.0,0.676,1572.0,0.128,6848.0,0.558
2021-03-21,65 and Older,3170.0,0.33,3919.0,0.408,63.0,0.007,7152.0,0.745,3982.0,0.415,3233.0,0.337
2021-03-22,12-17,262.0,0.058,33.0,0.007,,,,,,,262.0,0.058
2021-03-22,18-49,13689.0,0.542,3004.0,0.119,280.0,0.011,16973.0,0.673,3284.0,0.13,13969.0,0.554
2021-03-22,50-64,11881.0,0.967,2137.0,0.174,319.0,0.026,14337.0,1.167,2456.0,0.2,12200.0,0.993
2021-03-22,65 and Older,6427.0,0.67,5820.0,0.607,218.0,0.023,12465.0,1.299,6038.0,0.629,6645.0,0.693
2021-03-23,12-17,304.0,0.067,35.0,0.008,,,,,,,304.0,0.067
2021-03-23,18-49,15319.0,0.607,4811.0,0.191,379.0,0.015,20509.0,0.813,5190.0,0.206,15698.0,0.622
2021-03-23,50-64,14489.0,1.18,3314.0,0.27,660.0,0.054,18463.0,1.503,3974.0,0.324,15149.0,1.233
2021-03-23,65 and Older,7230.0,0.754,8648.0,0.901,482.0,0.05,16360.0,1.705,9130.0,0.952,7712.0,0.804
2021-03-24,12-17,308.0,0.068,37.0,0.008,,,,,,,308.0,0.068
2021-03-24,18-49,16762.0,0.664,5812.0,0.23,386.0,0.015,22960.0,0.91,6198.0,0.246,17148.0,0.68
2021-03-24,50-64,16290.0,1.326,4407.0,0.359,572.0,0.047,21269.0,1.732,4979.0,0.405,16862.0,1.373
2021-03-24,65 and Older,7269.0,0.758,10264.0,1.07,395.0,0.041,17928.0,1.869,10659.0,1.111,7664.0,0.799
2021-03-25,12-17,343.0,0.076,32.0,0.007,1.0,0.0,376.0,0.083,33.0,0.007,344.0,0.076
2021-03-25,18-49,18422.0,0.73,5316.0,0.211,855.0,0.034,24593.0,0.975,6171.0,0.245,19277.0,0.764
2021-03-25,50-64,17017.0,1.386,4089.0,0.333,1051.0,0.086,22157.0,1.804,5140.0,0.418,18068.0,1.471
2021-03-25,65 and Older,6137.0,0.64,10964.0,1.143,549.0,0.057,17650.0,1.84,11513.0,1.2,6686.0,0.697
2021-03-26,12-17,245.0,0.054,26.0,0.006,1.0,0.0,272.0,0.06,27.0,0.006,246.0,0.054
2021-03-26,18-49,15431.0,0.612,6401.0,0.254,1013.0,0.04,22845.0,0.905,7414.0,0.294,16444.0,0.652
2021-03-26,50-64,15252.0,1.242,5044.0,0.411,1036.0,0.084,21332.0,1.737,6080.0,0.495,16288.0,1.326
2021-03-26,65 and Older,5434.0,0.566,13854.0,1.444,446.0,0.046,19734.0,2.057,14300.0,1.491,5880.0,0.613
2021-03-27,12-17,241.0,0.053,60.0,0.013,,,,,,,241.0,0.053
2021-03-27,18-49,11939.0,0.473,4229.0,0.168,628.0,0.025,16796.0,0.666,4857.0,0.192,12567.0,0.498
2021-03-27,50-64,10613.0,0.864,3243.0,0.264,1438.0,0.117,15294.0,1.245,4681.0,0.381,12051.0,0.981
2021-03-27,65 and Older,4049.0,0.422,8926.0,0.93,317.0,0.033,13292.0,1.385,9243.0,0.963,4366.0,0.455
2021-03-28,12-17,196.0,0.043,30.0,0.007,2.0,0.0,228.0,0.05,32.0,0.007,198.0,0.044
2021-03-28,18-49,7422.0,0.294,3213.0,0.127,532.0,0.021,11167.0,0.443,3745.0,0.148,7954.0,0.315
2021-03-28,50-64,7703.0,0.627,2431.0,0.198,1000.0,0.081,11134.0,0.907,3431.0,0.279,8703.0,0.709
2021-03-28,65 and Older,1553.0,0.162,6736.0,0.702,76.0,0.008,8365.0,0.872,6812.0,0.71,1629.0,0.17
2021-03-29,12-17,319.0,0.071,68.0,0.015,1.0,0.0,388.0,0.086,69.0,0.015,320.0,0.071
2021-03-29,18-49,12901.0,0.511,7303.0,0.289,376.0,0.015,20580.0,0.816,7679.0,0.304,13277.0,0.526
2021-03-29,50-64,13136.0,1.07,5745.0,0.468,475.0,0.039,19356.0,1.576,6220.0,0.506,13611.0,1.108
2021-03-29,65 and Older,3197.0,0.333,12576.0,1.311,273.0,0.028,16046.0,1.673,12849.0,1.339,3470.0,0.362
2021-03-30,12-17,509.0,0.113,76.0,0.017,1.0,0.0,586.0,0.13,77.0,0.017,510.0,0.113
2021-03-30,18-49,17822.0,0.706,7643.0,0.303,620.0,0.025,26085.0,1.034,8263.0,0.327,18442.0,0.731
2021-03-30,50-64,17228.0,1.403,5880.0,0.479,777.0,0.063,23885.0,1.945,6657.0,0.542,18005.0,1.466
2021-03-30,65 and Older,4014.0,0.418,14735.0,1.536,432.0,0.045,19181.0,1.999,15167.0,1.581,4446.0,0.463
2021-03-31,12-17,666.0,0.147,78.0,0.017,7.0,0.002,751.0,0.166,85.0,0.019,673.0,0.149
2021-03-31,18-49,18890.0,0.749,9372.0,0.371,2531.0,0.1,30793.0,1.22,11903.0,0.472,21421.0,0.849
2021-03-31,50-64,15978.0,1.301,7300.0,0.594,2439.0,0.199,25717.0,2.094,9739.0,0.793,18417.0,1.499
2021-03-31,65 and Older,5039.0,0.525,17129.0,1.785,752.0,0.078,22920.0,2.389,17881.0,1.864,5791.0,0.604
2021-04-01,12-17,554.0,0.123,103.0,0.023,1.0,0.0,658.0,0.146,104.0,0.023,555.0,0.123
2021-04-01,18-49,18849.0,0.747,10716.0,0.425,2319.0,0.092,31884.0,1.264,13035.0,0.517,21168.0,0.839
2021-04-01,50-64,17205.0,1.401,8361.0,0.681,2325.0,0.189,27891.0,2.271,10686.0,0.87,19530.0,1.59
2021-04-01,65 and Older,4110.0,0.428,17365.0,1.81,802.0,0.084,22277.0,2.322,18167.0,1.894,4912.0,0.512
2021-04-02,12-17,703.0,0.156,108.0,0.024,5.0,0.001,816.0,0.181,113.0,0.025,708.0,0.157
2021-04-02,18-49,16073.0,0.637,9310.0,0.369,2792.0,0.111,28175.0,1.117,12102.0,0.48,18865.0,0.748
2021-04-02,50-64,13517.0,1.101,7253.0,0.591,2308.0,0.188,23078.0,1.879,9561.0,0.778,15825.0,1.288
2021-04-02,65 and Older,4157.0,0.433,14905.0,1.554,682.0,0.071,19744.0,2.058,15587.0,1.625,4839.0,0.504
2021-04-03,12-17,577.0,0.128,121.0,0.027,8.0,0.002,706.0,0.156,129.0,0.029,585.0,0.129
2021-04-03,18-49,11784.0,0.467,6299.0,0.25,2253.0,0.089,20336.0,0.806,8552.0,0.339,14037.0,0.556
2021-04-03,50-64,7070.0,0.576,4435.0,0.361,1717.0,0.14,13222.0,1.077,6152.0,0.501,8787.0,0.715
2021-04-03,65 and Older,2005.0,0.209,7383.0,0.77,420.0,0.044,9808.0,1.022,7803.0,0.813,2425.0,0.253
2021-04-04,12-17,210.0,0.046,82.0,0.018,,,,,,,210.0,0.046
2021-04-04,18-49,4705.0,0.186,3927.0,0.156,521.0,0.021,9153.0,0.363,4448.0,0.176,5226.0,0.207
2021-04-04,50-64,2762.0,0.225,2907.0,0.237,307.0,0.025,5976.0,0.487,3214.0,0.262,3069.0,0.25
2021-04-04,65 and Older,577.0,0.06,3083.0,0.321,101.0,0.011,3761.0,0.392,3184.0,0.332,678.0,0.071
2021-04-05,12-17,822.0,0.182,128.0,0.028,3.0,0.001,953.0,0.211,131.0,0.029,825.0,0.183
2021-04-05,18-49,15317.0,0.607,9055.0,0.359,3135.0,0.124,27507.0,1.09,12190.0,0.483,18452.0,0.731
2021-04-05,50-64,9175.0,0.747,7565.0,0.616,2559.0,0.208,19299.0,1.571,10124.0,0.824,11734.0,0.955
2021-04-05,65 and Older,2313.0,0.241,11506.0,1.199,907.0,0.095,14726.0,1.535,12413.0,1.294,3220.0,0.336
2021-04-06,12-17,1139.0,0.252,134.0,0.03,2.0,0.0,1275.0,0.282,136.0,0.03,1141.0,0.252
2021-04-06,18-49,21580.0,0.855,10331.0,0.409,5458.0,0.216,37369.0,1.481,15789.0,0.626,27038.0,1.071
2021-04-06,50-64,13481.0,1.098,8472.0,0.69,3602.0,0.293,25555.0,2.081,12074.0,0.983,17083.0,1.391
2021-04-06,65 and Older,3316.0,0.346,10788.0,1.124,1384.0,0.144,15488.0,1.614,12172.0,1.269,4700.0,0.49
2021-04-07,12-17,1174.0,0.26,211.0,0.047,8.0,0.002,1393.0,0.308,219.0,0.048,1182.0,0.262
2021-04-07,18-49,19448.0,0.771,11202.0,0.444,6905.0,0.274,37555.0,1.488,18107.0,0.718,26353.0,1.044
2021-04-07,50-64,11826.0,0.963,9382.0,0.764,4485.0,0.365,25693.0,2.092,13867.0,1.129,16311.0,1.328
2021-04-07,65 and Older,3159.0,0.329,12615.0,1.315,1464.0,0.153,17238.0,1.797,14079.0,1.467,4623.0,0.482
2021-04-08,12-17,1178.0,0.261,208.0,0.046,7.0,0.002,1393.0,0.308,215.0,0.048,1185.0,0.262
2021-04-08,18-49,23209.0,0.92,12964.0,0.514,7095.0,0.281,43268.0,1.715,20059.0,0.795,30304.0,1.201
2021-04-08,50-64,13908.0,1.132,10064.0,0.819,4826.0,0.393,28798.0,2.345,14890.0,1.212,18734.0,1.525
2021-04-08,65 and Older,3571.0,0.372,12172.0,1.269,1850.0,0.193,17593.0,1.834,14022.0,1.462,5421.0,0.565
2021-04-09,12-17,1046.0,0.231,184.0,0.041,2.0,0.0,1232.0,0.273,186.0,0.041,1048.0,0.232
2021-04-09,18-49,19715.0,0.781,12267.0,0.486,7352.0,0.291,39334.0,1.559,19619.0,0.777,27067.0,1.073
2021-04-09,50-64,10103.0,0.823,10008.0,0.815,5480.0,0.446,25591.0,2.084,15488.0,1.261,15583.0,1.269
2021-04-09,65 and Older,2788.0,0.291,13116.0,1.367,1576.0,0.164,17480.0,1.822,14692.0,1.531,4364.0,0.455
2021-04-10,12-17,1399.0,0.31,248.0,0.055,,,,,,,1399.0,0.31
2021-04-10,18-49,13248.0,0.525,9645.0,0.382,4185.0,0.166,27078.0,1.073,13830.0,0.548,17433.0,0.691
2021-04-10,50-64,7242.0,0.59,7738.0,0.63,2635.0,0.215,17615.0,1.434,10373.0,0.845,9877.0,0.804
2021-04-10,65 and Older,1360.0,0.142,5070.0,0.528,739.0,0.077,7169.0,0.747,5809.0,0.605,2099.0,0.219
2021-04-11,12-17,1045.0,0.231,144.0,0.032,2.0,0.0,1191.0,0.264,146.0,0.032,1047.0,0.232
2021-04-11,18-49,10630.0,0.421,5812.0,0.23,6652.0,0.264,23094.0,0.915,12464.0,0.494,17282.0,0.685
2021-04-11,50-64,4962.0,0.404,4710.0,0.383,2889.0,0.235,12561.0,1.023,7599.0,0.619,7851.0,0.639
2021-04-11,65 and Older,852.0,0.089,2463.0,0.257,531.0,0.055,3846.0,0.401,2994.0,0.312,1383.0,0.144
2021-04-12,12-17,954.0,0.211,239.0,0.053,2.0,0.0,1195.0,0.264,241.0,0.053,956.0,0.212
2021-04-12,18-49,14849.0,0.588,13745.0,0.545,6051.0,0.24,34645.0,1.373,19796.0,0.785,20900.0,0.828
2021-04-12,50-64,6942.0,0.565,10892.0,0.887,3790.0,0.309,21624.0,1.761,14682.0,1.195,10732.0,0.874
2021-04-12,65 and Older,1751.0,0.183,7771.0,0.81,1030.0,0.107,10552.0,1.1,8801.0,0.917,2781.0,0.29
2021-04-13,12-17,1814.0,0.401,268.0,0.059,,,,,,,1814.0,0.401
2021-04-13,18-49,25014.0,0.991,14228.0,0.564,206.0,0.008,39448.0,1.563,14434.0,0.572,25220.0,0.999
2021-04-13,50-64,12763.0,1.039,11337.0,0.923,119.0,0.01,24219.0,1.972,11456.0,0.933,12882.0,1.049
2021-04-13,65 and Older,2758.0,0.287,9973.0,1.04,15.0,0.002,12746.0,1.329,9988.0,1.041,2773.0,0.289
2021-04-13,Unknown,84295.0,,54201.0,,2952.0,,141448.0,,57153.0,,87247.0,
2021-04-14,12-17,2386.0,0.528,296.0,0.066,,,,,,,2386.0,0.528
2021-04-14,18-49,24013.0,0.952,14447.0,0.573,97.0,0.004,38557.0,1.528,14544.0,0.576,24110.0,0.955
2021-04-14,50-64,10929.0,0.89,12186.0,0.992,74.0,0.006,23189.0,1.888,12260.0,0.998,11003.0,0.896
2021-04-14,65 and Older,2586.0,0.27,10148.0,1.058,30.0,0.003,12764.0,1.33,10178.0,1.061,2616.0,0.273
2021-04-14,Unknown,557.0,,11.0,,1.0,,569.0,,12.0,,558.0,
2021-04-15,12-17,1545.0,0.342,239.0,0.053,1.0,0.0,1785.0,0.395,240.0,0.053,1546.0,0.342
2021-04-15,18-49,25133.0,0.996,14560.0,0.577,84.0,0.003,39777.0,1.576,14644.0,0.58,25217.0,0.999
2021-04-15,50-64,11407.0,0.929,13043.0,1.062,45.0,0.004,24495.0,1.994,13088.0,1.066,11452.0,0.932
2021-04-15,65 and Older,2601.0,0.271,9665.0,1.007,16.0,0.002,12282.0,1.28,9681.0,1.009,2617.0,0.273
2021-04-15,Unknown,623.0,,823.0,,19.0,,1465.0,,842.0,,642.0,
2021-04-16,12-17,1920.0,0.425,237.0,0.052,,,,,,,1920.0,0.425
2021-04-16,18-49,21577.0,0.855,14715.0,0.583,5.0,0.0,36297.0,1.438,14720.0,0.583,21582.0,0.855
2021-04-16,50-64,10041.0,0.818,13232.0,1.077,3.0,0.0,23276.0,1.895,13235.0,1.078,10044.0,0.818
2021-04-16,65 and Older,2574.0,0.268,8866.0,0.924,2.0,0.0,11442.0,1.193,8868.0,0.924,2576.0,0.269
2021-04-16,Unknown,782.0,,1016.0,,8.0,,1806.0,,1024.0,,790.0,
2021-04-17,12-17,2524.0,0.559,188.0,0.042,,,,,,,2524.0,0.559
2021-04-17,18-49,19451.0,0.771,8406.0,0.333,2.0,0.0,27859.0,1.104,8408.0,0.333,19453.0,0.771
2021-04-17,50-64,8061.0,0.656,7858.0,0.64,3.0,0.0,15922.0,1.296,7861.0,0.64,8064.0,0.657
2021-04-17,65 and Older,1493.0,0.156,3934.0,0.41,,,,,,,1493.0,0.156
2021-04-17,Unknown,1136.0,,1177.0,,6.0,,2319.0,,1183.0,,1142.0,
2021-04-18,12-17,2014.0,0.446,222.0,0.049,,,,,,,2014.0,0.446
2021-04-18,18-49,11893.0,0.471,6734.0,0.267,3.0,0.0,18630.0,0.738,6737.0,0.267,11896.0,0.471
2021-04-18,50-64,4846.0,0.395,7260.0,0.591,,,,,,,4846.0,0.395
2021-04-18,65 and Older,914.0,0.095,1685.0,0.176,,,,,,,914.0,0.095
2021-04-19,12-17,1313.0,0.291,397.0,0.088,,,,,,,1313.0,0.291
2021-04-19,18-49,17181.0,0.681,14287.0,0.566,25.0,0.001,31493.0,1.248,14312.0,0.567,17206.0,0.682
2021-04-19,50-64,7872.0,0.641,14698.0,1.197,12.0,0.001,22582.0,1.839,14710.0,1.198,7884.0,0.642
2021-04-19,65 and Older,1856.0,0.193,4499.0,0.469,16.0,0.002,6371.0,0.664,4515.0,0.471,1872.0,0.195
2021-04-19,Unknown,1369.0,,2003.0,,9.0,,3381.0,,2012.0,,1378.0,
2021-04-20,12-17,1455.0,0.322,462.0,0.102,,,,,,,1455.0,0.322
2021-04-20,18-49,17239.0,0.683,16495.0,0.654,5.0,0.0,33739.0,1.337,16500.0,0.654,17244.0,0.683
2021-04-20,50-64,8135.0,0.662,17461.0,1.422,10.0,0.001,25606.0,2.085,17471.0,1.422,8145.0,0.663
2021-04-20,65 and Older,2159.0,0.225,6221.0,0.648,17.0,0.002,8397.0,0.875,6238.0,0.65,2176.0,0.227
2021-04-20,Unknown,3243.0,,2158.0,,19.0,,5420.0,,2177.0,,3262.0,
2021-04-21,12-17,2793.0,0.618,653.0,0.145,,,,,,,2793.0,0.618
2021-04-21,18-49,22753.0,0.902,18531.0,0.734,5.0,0.0,41289.0,1.636,18536.0,0.735,22758.0,0.902
2021-04-21,50-64,9431.0,0.768,17157.0,1.397,5.0,0.0,26593.0,2.165,17162.0,1.397,9436.0,0.768
2021-04-21,65 and Older,2302.0,0.24,6222.0,0.649,5.0,0.001,8529.0,0.889,6227.0,0.649,2307.0,0.24
2021-04-21,Unknown,906.0,,1206.0,,4.0,,2116.0,,1210.0,,910.0,
2021-04-22,12-17,1718.0,0.38,438.0,0.097,,,,,,,1718.0,0.38
2021-04-22,18-49,20915.0,0.829,17282.0,0.685,11.0,0.0,38208.0,1.514,17293.0,0.685,20926.0,0.829
2021-04-22,50-64,9609.0,0.782,16158.0,1.316,4.0,0.0,25771.0,2.098,16162.0,1.316,9613.0,0.783
2021-04-22,65 and Older,2422.0,0.252,5479.0,0.571,1.0,0.0,7902.0,0.824,5480.0,0.571,2423.0,0.253
2021-04-22,Unknown,1018.0,,458.0,,,,,,,,1018.0,
2021-04-23,12-17,1821.0,0.403,626.0,0.139,,,,,,,1821.0,0.403
2021-04-23,18-49,18754.0,0.743,16821.0,0.667,13.0,0.001,35588.0,1.41,16834.0,0.667,18767.0,0.744
2021-04-23,50-64,8577.0,0.698,14875.0,1.211,1.0,0.0,23453.0,1.91,14876.0,1.211,8578.0,0.698
2021-04-23,65 and Older,2167.0,0.226,5642.0,0.588,,,,,,,2167.0,0.226
2021-04-23,Unknown,759.0,,632.0,,1.0,,1392.0,,633.0,,760.0,
2021-04-24,12-17,2138.0,0.473,543.0,0.12,,,,,,,2138.0,0.473
2021-04-24,18-49,16001.0,0.634,14258.0,0.565,44.0,0.002,30303.0,1.201,14302.0,0.567,16045.0,0.636
2021-04-24,50-64,6584.0,0.536,10112.0,0.823,23.0,0.002,16719.0,1.361,10135.0,0.825,6607.0,0.538
2021-04-24,65 and Older,1534.0,0.16,2514.0,0.262,7.0,0.001,4055.0,0.423,2521.0,0.263,1541.0,0.161
2021-04-25,12-17,1783.0,0.395,185.0,0.041,,,,,,,1783.0,0.395
2021-04-25,18-49,11716.0,0.464,4397.0,0.174,11.0,0.0,16124.0,0.639,4408.0,0.175,11727.0,0.465
2021-04-25,50-64,4636.0,0.377,2984.0,0.243,7.0,0.001,7627.0,0.621,2991.0,0.244,4643.0,0.378
2021-04-25,65 and Older,1029.0,0.107,632.0,0.066,6.0,0.001,1667.0,0.174,638.0,0.067,1035.0,0.108
2021-04-25,Unknown,992.0,,2492.0,,5.0,,3489.0,,2497.0,,997.0,
2021-04-26,12-17,1397.0,0.309,641.0,0.142,,,,,,,1397.0,0.309
2021-04-26,18-49,15496.0,0.614,14596.0,0.578,98.0,0.004,30190.0,1.196,14694.0,0.582,15594.0,0.618
2021-04-26,50-64,6577.0,0.535,12094.0,0.985,72.0,0.006,18743.0,1.526,12166.0,0.991,6649.0,0.541
2021-04-26,65 and Older,1911.0,0.199,2807.0,0.293,34.0,0.004,4752.0,0.495,2841.0,0.296,1945.0,0.203
2021-04-26,Unknown,1483.0,,1672.0,,1.0,,3156.0,,1673.0,,1484.0,
2021-04-27,12-17,1463.0,0.324,832.0,0.184,,,,,,,1463.0,0.324
2021-04-27,18-49,15642.0,0.62,16848.0,0.668,581.0,0.023,33071.0,1.311,17429.0,0.691,16223.0,0.643
2021-04-27,50-64,6974.0,0.568,11641.0,0.948,365.0,0.03,18980.0,1.545,12006.0,0.978,7339.0,0.598
