VACCINATION_DATE,AgeRange,FirstDailyDose,PercentFirstDailyDose,SecondDailyDose,PercentSecondDailyDose,SingleDailyDose,PercentSingleDailyDose,CombinedAllDoses,PercentCombinedAllDoses,FullyVaccinated,PercentFullyVaccinated,AtLeastOneVaccine,PercentAtLeastOneVaccine
2021-01-05,12-17,9.0,0.002,,,,,,,,,9.0,0.002
2021-01-05,18-49,5990.0,0.237,293.0,0.012,,,,,,,5990.0,0.237
2021-01-05,50-64,3714.0,0.302,127.0,0.01,,,,,,,3714.0,0.302
2021-01-05,65 and Older,2254.0,0.235,28.0,0.003,,,,,,,2254.0,0.235
2021-01-06,12-17,14.0,0.003,,,,,,,,,14.0,0.003
2021-01-06,18-49,7395.0,0.293,545.0,0.022,,,,,,,7395.0,0.293
2021-01-06,50-64,4757.0,0.387,200.0,0.016,,,,,,,4757.0,0.387
2021-01-06,65 and Older,2572.0,0.268,29.0,0.003,,,,,,,2572.0,0.268
2021-01-07,12-17,10.0,0.002,,,,,,,,,10.0,0.002
2021-01-07,18-49,7849.0,0.311,1061.0,0.042,,,,,,,7849.0,0.311
2021-01-07,50-64,4619.0,0.376,444.0,0.036,,,,,,,4619.0,0.376
2021-01-07,65 and Older,2185.0,0.228,97.0,0.01,,,,,,,2185.0,0.228
2021-01-08,12-17,30.0,0.007,,,,,,,,,30.0,0.007
2021-01-08,18-49,8183.0,0.324,1605.0,0.064,,,,,,,8183.0,0.324
2021-01-08,50-64,4829.0,0.393,790.0,0.064,,,,,,,4829.0,0.393
2021-01-08,65 and Older,2644.0,0.276,180.0,0.019,,,,,,,2644.0,0.276
2021-01-08,Unknown,8000.0,,,,,,,,,,8000.0,
2021-01-09,12-17,5.0,0.001,,,,,,,,,5.0,0.001
2021-01-09,18-49,2395.0,0.095,564.0,0.022,,,,,,,2395.0,0.095
2021-01-09,50-64,1428.0,0.116,258.0,0.021,,,,,,,1428.0,0.116
2021-01-09,65 and Older,1137.0,0.119,52.0,0.005,,,,,,,1137.0,0.119
2021-01-10,12-17,4.0,0.001,,,,,,,,,4.0,0.001
2021-01-10,18-49,1266.0,0.05,240.0,0.01,,,,,,,1266.0,0.05
2021-01-10,50-64,818.0,0.067,88.0,0.007,,,,,,,818.0,0.067
2021-01-10,65 and Older,677.0,0.071,13.0,0.001,,,,,,,677.0,0.071
2021-01-11,12-17,15.0,0.003,,,,,,,,,15.0,0.003
2021-01-11,18-49,6479.0,0.257,2082.0,0.083,,,,,,,6479.0,0.257
2021-01-11,50-64,3987.0,0.325,952.0,0.078,,,,,,,3987.0,0.325
